"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"543b9a7b-968b-481e-be21-6c5801983cd8","","checklist-flat","no-status-started","Site Details","checklist-flat","FALSE","FALSE","Site Details"
"ead40968-7e7f-41c7-a2a7-5bf1f11d46a0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Pre-Pour"
"5a93634d-e836-41c2-9113-75263fa8c4a0","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P001A"
"8b252e9f-f683-41db-82c3-a7b61d9b9996","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P003"
"968d4a3d-370e-4ef7-828f-ca14ed6e0a3a","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P004"
"89e47506-910f-498a-bbc8-2f6207212b16","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P008"
"a5d089fc-1c1c-49b5-a7b9-fa284b11a774","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P009"
"47d0da09-f771-40d2-a8e7-78773c6b8267","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P010"
"b9ffd57e-a71a-4728-85f3-ea7d3254f075","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P011"
"456e418a-b22c-4273-9156-bf374de04547","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P012"
"d0fc7493-961f-4f0d-8652-59e212ed0a16","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P013"
"cdd8e77b-9eee-49a6-8e1f-02a342999b15","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P014"
"2fcc1f28-8f89-4acf-b5d0-e9d2e0665083","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P021"
"e67eaf96-6413-410f-ba0f-8aa208956443","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","Pre-Pour","P022"
