"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d00e3e0c-6291-44ef-a2e3-44ba13424cc4","","pass","","folder","TRUE","FALSE","Stage 1"
"2d32e27b-7075-43ad-9c30-d99b1ff81494","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-01"
"9843ea08-a2a8-43dc-bbcc-ee595c55123b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-39"
"73f0574f-1ea6-4ccd-8937-0a6efd199bc5","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-35"
"80572d28-c0a7-4151-8297-0be957477bfd","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-26"
"95c1e507-9233-45d7-a4f7-692e49095cb6","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-27"
"ef031511-38f6-4c2a-9b5f-60340da35726","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-29"
"e589fd37-9a98-44ae-8277-19d89128429d","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-30"
"118f88ef-fd9c-481f-9419-b51d0d0aeb67","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-28"
"3dea19db-3985-4263-9cb8-7a971ae11b99","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-33"
"bd3c914a-655b-487e-b175-df4a8f177e57","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-41"
"2da7debc-8a82-46d6-9762-25979af87de7","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-40"
"3dd7cedd-ca0a-46d6-81ed-3e02dbdfdbbd","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-31"
"03c118ea-6903-4eb1-997f-51b25394db3b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-32"
"e72127d4-a63c-439a-81a2-122e9beaaeaa","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-36"
"2395e2de-cf44-402e-99ce-fbd838893978","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-37"
"04e316b4-1261-4a28-a8a3-b23da7af96cc","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-38"
"4725340c-2e90-4b70-bb2e-9a43cf802837","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-34"
"6d51f62a-b6c8-411a-a906-8846febdff46","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 1","W-25"
"532a082e-f30f-4b0a-8850-b3ab37b799da","","pass","","folder","TRUE","FALSE","Stage 2"
"5c5cda4a-98cb-4acc-805d-3c67959853c3","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-02"
"e3bd592d-92d0-4c1a-a98c-b31f4d94d9a1","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Stage 2","W-12"
