"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"db3b9d7a-1935-4c49-8743-2ff9fa957ffe","","no-status-not-started","","folder","TRUE","FALSE","Site Diary"
"604cf60e-1817-4d0d-8327-31317825a427","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting"
"441c9195-fd8c-46fb-823a-bd768e4da2a3","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","September"
"5100635d-dd94-49bd-9944-0e339a459649","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","October"
"9e6df00d-fa05-45b4-a224-f39ae70afd8a","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","November"
"df8f628f-c301-4046-a305-858cac70e032","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","December"
"695cef6c-eda5-454a-991c-7cb91aeda67f","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","January"
"1d8559f8-ba6e-48d6-b10b-03dd912d3b09","","no-status-not-started","","folder","TRUE","FALSE","Toolbox Meeting","February"
"2d7f5052-8c71-4248-a5c1-cf63e5cb712b","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings"
"7b047b7b-1f8f-4951-80e4-d4c8f588afce","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","Peno Drawings"
"2cd225d8-2331-405b-838e-07a19954f939","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","Fabb Sheets"
"c6d67094-b2fe-4585-9414-a5d0f5c57f95","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","Fitters Drawings"
"a5d6eb71-c2b1-4a8e-ac64-d98032801bfb","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","RCP"
"824ec620-ffd4-484f-9387-b92410754388","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","Hose reel Locations"
"b553bf52-dac0-4dc8-9d6b-59191d0ef4de","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","Schematic"
"7bf3f8fc-22f9-4042-ad23-7d42c61b6b90","","no-status-not-started","","folder","TRUE","FALSE","Project Drawings","B1 Mains"
"c2981af6-0ecf-40d6-9a42-9a2f414ebd85","","not-started","","folder","TRUE","FALSE","Site QA"
"1d4f9a27-1d52-4fd2-9ff8-d32aee31ce5e","","not-started","","folder","TRUE","FALSE","Site QA","Rough In"
"1259e8f4-8c5e-4d6f-b34f-a4536f54c2b0","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Basement 1"
"f0da35b1-2f36-4069-8a34-4a9d20e49bb8","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Basement 2"
"1f6c884c-66d2-489f-bbe1-810779bb9d76","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Ground Floor"
"9cd84eb5-ec34-4fbe-956f-bebb642ceda9","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Level 1"
"14de0987-a556-4493-8b79-eaf30b9cc08a","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Level 2"
"36d1922b-6898-48e9-8256-8cbde15cb76d","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Level 3"
"3472d8bb-eeb7-44a5-9298-13771852eabb","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Level 4"
"6836c980-09cc-43f0-a134-ee8441cee10e","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Level 5"
"9e32bc8c-8d9d-4ae8-b088-b50808ce4ae3","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Level 6"
"9e16291f-9303-4f2c-a245-82ee3a8cd847","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Level 7"
"f0f1468c-e967-4e28-a399-ddcb74ee5af9","","not-started","Sprinkler Rough In checklist","checklist","FALSE","FALSE","Site QA","Rough In","Level 8"
"dfee992d-3b59-4551-9021-2fcecce1a917","","not-started","","folder","TRUE","FALSE","Site QA","Fit Off"
"5e793dcf-f185-4c38-871e-1a01b9a97f9a","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Basement 1"
"725edf4a-e8c6-4278-8f01-7e72617c902f","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Basement 2"
"aefdd713-79a4-495c-ab82-75876ca2d8bd","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Ground Floor"
"4d170447-83d9-4991-8f2d-8e3a49cc1489","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 1"
"97b7065d-0395-476a-9c89-15024b7a0bdc","","not-started","Sprinkler Fit Off checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 2"
