"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"879c7e78-dce0-4337-ab51-0b50894aadc9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 1"
"6417cbb9-78e0-45f6-856c-d7d72d001533","","checklist-sectioned","work-in-progress","Wall Strapping","checklist","FALSE","FALSE","Level 1","115"
"679de61b-53bc-4e0f-8937-de1297d9616c","","checklist-sectioned","work-in-progress","Wall Strapping","checklist","FALSE","FALSE","Level 1","116"
"ca8ed1ea-750f-44e0-a71a-28e87daaefa6","","checklist-sectioned","work-in-progress","Wall Strapping","checklist","FALSE","FALSE","Level 1","117"
"170115dc-8f7e-4440-a8a1-2ce404ae5580","","checklist-sectioned","work-in-progress","Wall Strapping","checklist","FALSE","FALSE","Level 1","118"
"a9a11baa-2ead-492e-a2d1-d325638d8e54","","checklist-sectioned","work-in-progress","Wall Strapping","checklist","FALSE","FALSE","Level 1","119"
"e3c57bff-c1f1-4c29-8628-23a42805fff5","","checklist-sectioned","work-in-progress","Wall Strapping","checklist","FALSE","FALSE","Level 1","121"
"c116f75a-dd9e-4d66-a8f5-5e9194f5bbea","","checklist-sectioned","work-in-progress","Wall Strapping","checklist","FALSE","FALSE","Level 1","123"
"8ee3e47a-323a-4ba0-b23d-9ac16035e9b6","","checklist-sectioned","work-in-progress","Wall Strapping","checklist","FALSE","FALSE","Level 1","124"
"ab4deb9c-0cdb-44db-b498-d218bde35b01","","checklist-sectioned","work-in-progress","Wall Strapping","checklist","FALSE","FALSE","Level 1","125"
"1240a300-0434-49f0-bd45-1582df0575e0","","folder-normal","not-started","","step","TRUE","FALSE","Level 2"
"333ce445-4039-4ed0-a05d-a4f7d672e439","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 2","215"
"99fb7775-0926-4ea0-af15-e2673c222ad5","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 2","216"
"8036e92d-96ca-4a4c-911a-adcecd6c03e2","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 2","217"
"3002e6cf-34f2-43bf-958f-2cfb4533bf3f","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 2","218"
"f67daf0b-a8d3-4570-949a-874ace064465","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 2","219"
"d422ce61-52c2-457f-93f3-3722e421e70c","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 2","221"
"b2fdee35-9405-4b16-815b-b0a639ba1805","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 2","223"
"2e686e8a-7159-41d7-ba3a-90bd7d776467","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 2","224"
"270baa6e-e23f-4a89-a4d7-7275bc8d21eb","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 2","225"
"73f01cb9-cda2-4f1b-a1b8-e1e88c2beb9a","","folder-normal","not-started","","step","TRUE","FALSE","Level 3"
"79d768ea-9803-498c-8f61-9e4c24447992","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 3","315"
"3a0ec70a-5e65-4433-b243-b29295f4ee80","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 3","316"
"03751ab9-2427-46f2-9c79-5c10d5ddf957","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 3","317"
"47b10c71-f020-433c-9ace-b249ae923978","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 3","318"
"9636bbf9-d4e2-4451-83f8-e5e445c45fab","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 3","319"
"3faba719-d137-48f4-accd-6e3c8c7b1b9b","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 3","321"
"d467319d-cc0c-4bcb-acbc-743ac6d7c9dc","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 3","323"
"87e61647-d9da-43bc-98bd-dd11bfba3f58","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 3","324"
"36a408b3-a32a-41d1-acf7-6307f108e9ab","","checklist-sectioned","not-started","Wall Strapping","checklist","FALSE","FALSE","Level 3","325"
"4bd41dde-a13b-4384-8f91-bd69bf8df9eb","","folder-normal","not-started","","step","TRUE","FALSE","Building wrap and cladding system"
"e41a7a03-abd0-419a-a1ae-0704d9e5e473","","checklist-sectioned","not-started","Wraps/Tape Install","checklist","FALSE","FALSE","Building wrap and cladding system","East elevation QA"
"73799f1f-9ad3-4dcc-a222-e57e39f6a1f3","","checklist-sectioned","not-started","Wraps/Tape Install","checklist","FALSE","FALSE","Building wrap and cladding system","South elevation QA"
"9bf340c9-e3c0-4418-997c-ca8595c501ac","","checklist-sectioned","not-started","Wraps/Tape Install","checklist","FALSE","FALSE","Building wrap and cladding system","West elevation QA"
"b2110814-16cc-4e4e-b7ef-2a33ed91e6c0","","checklist-sectioned","not-started","Wraps/Tape Install","checklist","FALSE","FALSE","Building wrap and cladding system","North elevation QA"
"109c8219-883d-43a0-8a77-c473855c35d0","","checklist-flat","not-started","Trusses","checklist-flat","FALSE","FALSE","Roof frame (truss)"
