"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"12239d12-d3dd-4800-b7b3-71a4f6d579f1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","EXHIBITION"
"3efdc873-b8de-4378-b598-2c631d13d65e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","EXHIBITION","GARDEN BEDS"
"d2e8cff0-e853-4013-80d4-caa851f8dbe1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","MEZZANINE"
"d07e8ddc-ee25-43d5-99c4-c734e3827ee2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","MEZZANINE","PLANTER BOXES"
"787f1e10-7dde-464e-8f57-56de5a21cee7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","MEZZANINE","ACCESS WALKWAYS"
"94752ddf-98bf-4805-b341-efcab4b99434","","folder-normal","no-status-not-started","","step","TRUE","FALSE","MEZZANINE","CONCRETE ROOF"
"a6c68991-1607-4017-8c82-93696275f0a2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","MEZZANINE PLANT"
"94ed7ec5-9a43-4d8a-bcf5-1e0c8022457b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","MEZZANINE PLANT","MECHANICAL PLANT ROOM"
"0dee4e2c-5de4-448b-b176-a1e040b7913c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","MEZZANINE PLANT","CONCRETE ROOF"
"48566088-b174-4037-9b4d-011c6443597e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","MEZZANINE PLANT","MECHANICAL PLANT"
"98199149-206b-46d1-86c9-713a11add5fb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","MEZZANINE PLANT","PLANT OVER SEVERY SLAB"
"3eebc260-93c9-4d10-9230-a8ddea8990d3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SKY TERRACE"
"c7db21de-110a-46ec-b83c-204a4d0ce582","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SKY TERRACE","PLANTER BOXES"
"370699d8-bbce-4d16-9c0c-dfc7362e27c3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SKY TERRACE","FIRE EGRESS CONCRETE SLAB"
"b5d853b6-b427-408c-a5d7-e8be623fdc2c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SKY TERRACE PLANT"
"ff6552c4-83fb-4a07-9f7f-b707185fe6ce","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SKY TERRACE PLANT","PLANT ROOM"
"23edd39c-b990-44a8-bfaf-4fcd950d39c5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SKY TERRACE PLANT","CONCRETE FIRE STAIR LID"
"28acf24d-2fae-4625-9686-aa04c6bd761a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","LANDSCAPING AREAS"
"3c6bb00c-e049-4b3f-8d57-0616a2bd85fa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","LANDSCAPING AREAS","PLANTER BOXES"
"16693ae5-d828-403e-9b43-be3482969684","","folder-normal","no-status-not-started","","step","TRUE","FALSE","LANDSCAPING AREAS","DEEP FOREST GARDEN BED"
"250098d0-fff1-41df-a3ec-038c6052c519","","folder-normal","no-status-not-started","","step","TRUE","FALSE","FACADE GLAZING"
"34bac648-08ad-42bf-a6d5-cf3c7ba6e863","","folder-normal","no-status-not-started","","step","TRUE","FALSE","FACADE GLAZING","EXHIBITION GLAZING"
"9bd54075-cee0-4759-839c-6946dc3f9bc5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","FACADE GLAZING","MEZZANINE GLAZING"
"592d89b8-7e5b-4173-8f21-a74bcc4070ec","","folder-normal","no-status-not-started","","step","TRUE","FALSE","FACADE GLAZING","MEZZANINE SKY TERRACE GLAZING"
