type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Enviro CSH,,,,,,Enviro CSH
checkpoint,Relevant Australian Standards Checked,,,,,,
label,Specification / Standard: ManufacturerÅEfs Technical Data Sheet,,,,,,
checkpoint,Check Substrate. (moisture test if oncrete not fully cured) and prepare surface using a scraper or grinder and vacuum or sweep residual debris.,,,,,,
checkpoint,Check for cracks/defect in concrete.,,,,,,
label,Attach Photo,,,,,,
checkpoint,Perform mechanical profiling / shot blasting to concrete,,,,,,
label,Attach Photo,,,,,,
checkpoint,"Spray Enviro CSH concrete surface hardener and moisture barrier, first application",,,,,,
label,Attach Photo,,,,,,
checkpoint,"Spray Enviro CSH concrete surface hardener and moisture barrier, second application",,,,,,
label,Attach Photo,,,,,,
checkpoint,Final Inspection and Sign-off. Visually inspect and ensure adequately cured - DO NOT PASS UNTIL HOLDPOINT COMPLETE BELOW,,,,,,
holdpoint,HOLD POINT - CLICK HERE TO REQUEST BUILDER SIGN OFF,,,,,,
