"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"14bef456-e85e-44b4-9576-df61f6642465","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"2ea58235-e744-491a-b32e-f8602f174249","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Dishwasher"
"15dc50e4-776c-4ede-b91e-58c1cd5dda2e","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Gas Appliance"
"cfef56b3-78ae-43cf-a3f8-8c04dd35cf88","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Laundry Trough & Tapware"
"cd22f56b-dc97-4824-95d3-f2238cdbd1e9","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Washing Machine Stops"
"2e4199a1-d256-4b3b-96f2-833dc6c566b0","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Toilet & Cistern"
"95677f72-d4f1-4c82-943f-d8f809cb93b3","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Wash Basin & Tapware"
"40e179ca-2e8b-40be-a404-3970534e83ca","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Shower & Tapware"
"97904e43-6260-4b5a-bf3f-02214a244e3d","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Hot Water Unit"
"23edf375-8c3d-4eeb-8928-07a481eb4489","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 19","Testing"
"6301fdc3-774a-4eb7-8047-8e1ef378138a","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Testing","TST Test Water Service Pipework"
"db87d0e0-c1bf-44fd-97b1-4b4c21df1923","","pass","TST Test Gas Services Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Testing","TST Test Gas Services Pipework"
"9dccb853-f641-4896-b178-745cc35d0e31","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 19","Commissioning"
"250b530a-f27d-4ea3-a0d6-a68c87c745cc","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Commissioning","COM Commission Water Meter"
"40c12ddb-5336-4bf9-bd1c-5c10d3b9e5b3","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Commissioning","COM Commission Hot Water Unit"
"5fdaa3f4-5bdf-49ef-92f5-7866e11130be","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Commissioning","COM Commission Gas Appliance"
"b32800c2-e66d-47ec-9ae4-0a45b817e65d","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Commissioning","COM Commissioning Final Handover"
"f1c2fd03-ae09-4471-a50e-3f40d569b6b1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 20"
"8dfbdf69-b842-4e69-bb35-07b6a5ace7d5","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 20","Rough-in"
"e0e8b96e-d995-4527-b4b0-35bcbd397032","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"702494c6-85a6-48c7-88ef-bee8089878be","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Rough-in","WG Install Water/Gas Rough-ins"
"5805718e-d334-45b1-8614-36ec1cdd7ba9","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 20","Fit-off"
"fa6117ac-4ded-4400-b445-ab5a7bc05f40","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"03284cdc-376b-49ec-a951-ab911c6a11f1","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Dishwasher"
"9b7c0fb2-baee-4597-8f20-f04df3d9a810","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Gas Appliance"
"6447d20e-b3bb-4d8b-be41-abc496d751c3","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Laundry Trough & Tapware"
"3d6c5524-eae0-4ecd-b45e-dc1ba9eed943","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Washing Machine Stops"
"5ff98278-97e9-42c7-b6c3-267a42115df6","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Toilet & Cistern"
"a5f0c215-77f7-4390-9451-aee41805b894","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Wash Basin & Tapware"
"05caf718-e1b6-465b-a1e9-1973fba40071","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Shower & Tapware"
"a857e783-e668-455a-bcab-764c3a3f0acb","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Hot Water Unit"
"719cbe7f-0d41-48de-ad1d-e1fd9f4b48ed","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 20","Testing"
"95c37642-c399-4979-b32d-832b9f65eea1","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Testing","TST Test Water Service Pipework"
"a2784185-6bb8-477b-99da-f8c2b36d9fef","","pass","TST Test Gas Services Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Testing","TST Test Gas Services Pipework"
"95e40cc3-31b5-4805-ad43-b6de55204a89","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 20","Commissioning"
"0b1e0774-cf2a-4a81-a44e-ba8271a66434","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Commissioning","COM Commission Water Meter"
"4a8f694f-6428-4b8f-86fc-f8966308ff55","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Commissioning","COM Commission Hot Water Unit"
"f9d2de6e-7fb1-4c8c-9e48-13bbdfcdab84","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Commissioning","COM Commission Gas Appliance"
"fade6168-4d5a-49c9-9e1e-fa1c38ab4093","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Commissioning","COM Commissioning Final Handover"
"9225e201-561b-4024-8902-1797e4353092","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 21"
"42b746b7-5ef4-450c-a792-4456bf5366c8","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 21","Rough-in"
"3b765dd9-d9b6-4038-8427-db4983603ab4","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"dabe2855-7de4-4428-aa68-4b99c12b3a3b","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Rough-in","WG Install Water/Gas Rough-ins"
"1a982547-9d8b-4f2f-93b3-c3782d5c37ea","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 21","Fit-off"
"3539ea4f-ac17-430a-bf6c-6eda46a590b4","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"e7b93129-27d8-47ed-bc5b-63e9e4d6c71e","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Dishwasher"
