"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Bathroom Checklist"
,"Scope",,
,"Rows"
,,"BLOCK 3A","grouping","block 3a"
,,"TYPE A3(a) - Grid A-B - Ground Floor",,"unit types","grid a-b","block 3a","site qa","ground floor","type a3(a)","bathroom"
,,"TYPE A3(a) - Grid A-B - L1",,"unit types","grid a-b","block 3a","site qa","l1","type a3(a)","bathroom"
,,"TYPE A3(a) - Grid A-B - L2",,"unit types","grid a-b","block 3a","site qa","l2","type a3(a)","bathroom"
,,"TYPE C - Grid B-C - Ground Floor",,"unit types","type c","grid b-c","block 3a","site qa","ground floor","bathroom"
,,"TYPE C - Grid B-C - L1",,"unit types","type c","grid b-c","block 3a","site qa","l1","bathroom"
,,"TYPE C - Grid B-C - L2",,"unit types","type c","grid b-c","block 3a","site qa","l2","bathroom"
,,"TYPE C - Grid C-D - Ground Floor",,"unit types","type c","block 3a","site qa","ground floor","grid c-d","bathroom"
,,"TYPE C - Grid C-D - L1",,"unit types","type c","block 3a","site qa","l1","grid c-d","bathroom"
,,"TYPE C - Grid C-D - L2",,"unit types","type c","block 3a","site qa","l2","grid c-d","bathroom"
,,"TYPE A3(a) - Grid D-E - Ground Floor",,"unit types","block 3a","site qa","ground floor","type a3(a)","bathroom","grid d-e"
,,"TYPE A3(a) - Grid D-E - L1",,"unit types","block 3a","site qa","l1","type a3(a)","bathroom","grid d-e"
,,"TYPE A3(a) - Grid D-E - L2",,"unit types","block 3a","site qa","l2","type a3(a)","bathroom","grid d-e"
,,"BLOCK 3B","grouping","block 3b"
,,"TYPE A3(a) - Grid F-G - Ground Floor",,"block 3b","unit types","site qa","ground floor","type a3(a)","grid f-g","bathroom"
,,"TYPE A3(a) - Grid F-G - L1",,"block 3b","unit types","site qa","l1","type a3(a)","grid f-g","bathroom"
,,"TYPE A3(a) - Grid F-G - L2",,"block 3b","unit types","site qa","l2","type a3(a)","grid f-g","bathroom"
,,"TYPE A2(a) - Grid G-H - Ground Floor",,"block 3b","unit types","site qa","grid g-h","ground floor","type a2(a)","bathroom"
,,"TYPE A2(a) - Grid G-H - L1",,"block 3b","unit types","site qa","l1","grid g-h","type a2(a)","bathroom"
,,"TYPE A2(a) - Grid G-H - L2",,"block 3b","unit types","site qa","grid g-h","l2","type a2(a)","bathroom"
,,"TYPE A2(a) - Grid H-I - Ground Floor",,"block 3b","unit types","site qa","grid h-i","ground floor","type a2(a)","bathroom"
,,"TYPE A2(a) - Grid H-I - L1",,"block 3b","unit types","site qa","l1","grid h-i","type a2(a)","bathroom"
,,"TYPE A2(a) - Grid H-I - L2",,"block 3b","unit types","site qa","l2","grid h-i","type a2(a)","bathroom"
