Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
3a38b99b-25f9-41b1-a27c-602b99e8f7ed,checklist,Quality - Busduct,,Quality - Busduct,,
45e8814a-82cf-423b-a9fd-c3a56e777229,section,Details,,,,
db1ae93c-8268-473f-81f4-4737cab4cedb,checkpoint,Receipt of busduct/ busway & take off box's delivery to site,,,,
0114f097-b1f8-4453-94af-2f70c8afebbd,checkpoint,"Set out - Ensure correct size, type and spare capacity",,,,
ffa958a9-909d-4049-aa96-1053347f0c80,checkpoint,Accessories to be factory made items,,,,
deca732e-8625-46fd-b406-dfc8423083a9,checkpoint,Hangers installed as per the drawings,,,,
c190a62c-7f82-4546-bb9a-89b5d1be057f,checkpoint,IR Test of Busduct - Separate - Test Result Above 1M Ω,,,,
542607b0-ce8e-4ec4-a7c0-5f6d4529cba4,checkpoint,Busduct Piece are installed safely,,,,
cac51acd-6d78-49ed-870a-84ba62ce7f25,checkpoint,Busduct Torqued to 95Nm,,,,
9e80dd70-5c34-41f4-a2e2-c730ddebf488,checkpoint,IR Test of Busduct - Joined - Test Result Above 1M Ω,,,,
385aae35-6770-4aa5-8950-365609a1f68f,checkpoint,Photos attached of installed piece,,,,
,signoff,Checked By (Heyday):,,,,
,,,,,,
4b07463c-5687-47a1-a511-607266efb7cb,checklist,Quality - Cable tray/Ladder,,Quality - Cable tray/Ladder,,
45e8814a-82cf-423b-a9fd-c3a56e777229,section,Details,,,,
8ec8ca09-6507-4060-8222-7311ba924b2b,checkpoint,Receipt of Cable Tray delivery to site & storage,,,,
31303573-2ccc-4457-bc82-5e799c64f00d,checkpoint,Set out to be confirmed with latest IFC Drawings,,,,
d203099e-f5a3-4d50-8ff3-dddf9500a92b,checkpoint,Accessories to be factory made items,,,,
55d26861-bfd5-4c2b-ad04-bd8717697dd6,checkpoint,Correct Levelling & Alignment,,,,
07819f9e-eb9e-4d84-a017-c7c692890b33,checkpoint,Correct bracket and safe fixing,,,,
166f14d0-60f9-488e-9f61-55ecd9d55dfd,checkpoint,Correct Bends used (Cable Ladder),,,,
6ef7e067-c82a-4d3a-908a-f7faf4928576,checkpoint,Photos attached.,,,,
,signoff,Checked By (Heyday):,,,,
,,,,,,
18c33c9d-d299-49a1-9961-d361dbf2afec,checklist,Quality - Distribution boards,,Quality - Distribution boards,,
45e8814a-82cf-423b-a9fd-c3a56e777229,section,Details,,,,
9626e9fd-9b2a-49cf-9de6-ee22be777fcb,checkpoint,Receipt of switchboard delivery to site,,,,
