Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,ITP-115 - Mechanical - Rough-In,,,,,Yes,ITP-115 - Mechanical - Rough-In,2c3b3cc5-ca3d-4bbe-a07c-f8e8a782233c
checkpoint-status,,,checkpoint,Check Materials,,,,,,,
checkpoint-status,,,checkpoint,Install FCUs,,,,,,,
checkpoint-status,,,checkpoint,Install Zone Controller Box,,,,,,,
checkpoint-status,,,checkpoint,Install Fans,,,,,,,
checkpoint-status,,,checkpoint,Install Pipework,,,,,,,
checkpoint-status,,,checkpoint,"Install Cabling, Controls, etc.",,,,,,,
checkpoint-status,,,checkpoint,Install Flexible Ducts,,,,,,,
checkpoint-status,,,checkpoint,Install Drains and test,,,,,,,
checkpoint-status,,,checkpoint,Fire Boxes/Collars/Dampers Installed. Attach photos,,,,,,,
checkpoint-status,,,checkpoint,Install Rigid Duct and seal,,,,,,,
checkpoint-status,,,checkpoint,Measure Filters (Take photo of size/dimension),,,,,,,
checkpoint-status,,,checkpoint,Access Panels Marked,,,,,,,
checkpoint-status,,,checkpoint,Pressure Testing,,,,,,,
