Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,,
8e78e027-3a5a-42d9-a334-21b5924f5d29,,folder-normal,work-in-progress,,step,TRUE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,,,
d874545a-7212-4f66-8885-8e040efedfd4,,folder-normal,work-in-progress,,step,TRUE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,,
b6c1751a-e0e1-4590-9f3f-b0e73ac19ff7,,folder-normal,work-in-progress,,step,TRUE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,
2aeb8990-f99c-4e84-9ea2-afb66bb1888d,,checklist-flat,pass,H&S - Daily Observation Checklist (V1),checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Observation/Issue - 13.11.20
7d2f5c97-3bca-45fd-a56b-880ec5961dc2,,checklist-flat,pass,H&S - Daily Observation Checklist (V1),checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Observation/Issue -16-11-20
5a41dd93-123c-4a11-808d-377001d4fb69,,checklist-flat,pass,H&S - Daily Observation Checklist (V1),checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Observation/Issue -17-11-20
ce7c7b19-70b6-4c03-ba7b-484ee2be11a0,,checklist-flat,pass,H&S - Daily Observation Checklist (V1),checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Observation/Issue -18/11/20
3c11e41a-68f5-483e-b04e-b6da7d57e871,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 19/11/20
24e2f48c-07a8-4b71-b09f-924309b2d283,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 20/11/20
166a2ad7-b26f-4a90-bf13-f342051e602a,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 21/11/20
7d9e1f75-bc77-40aa-b07d-336561620e0a,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 23.11.20
50dd8708-9e4a-4bf9-9363-846f2a2d353a,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 24.11.20
4c0e39ee-e698-4fe8-83a9-ca7cc0ad7b2a,,checklist-flat,pass,Add Daily Fencing Checks,checklist-flat,FALSE,FALSE,Project QA,Site Establishment,Site Establishment ,Daily Fencing Checks,2020 Daily Fencing Checks,November,Daily Fencing Checks 25.11.20
