"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"35eccd02-fe7b-4d62-b97c-f4755f537ad3","","fail","","folder","TRUE","FALSE","STAGE #1"
"367715cf-030a-4f05-b255-b34f7bc7f450","","fail","","folder","TRUE","FALSE","STAGE #1","#20 TYPE 149 - W018-1 Bedroom"
"4800ad36-4196-47f7-a1ed-d0d7c2131dff","","fail","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#20 TYPE 149 - W018-1 Bedroom","Pre Install Checklist"
"ea776485-d050-4037-8ed7-1d8b9f3eda99","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#20 TYPE 149 - W018-1 Bedroom","Installation"
"0529ec2a-aa07-488f-b598-207aa2ab1d97","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#20 TYPE 149 - W018-1 Bedroom","Glazing"
"ff49b745-347d-4efb-bdbe-b908798b53e7","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#20 TYPE 149 - W018-1 Bedroom","Performance Tests"
"995c1293-b411-4adc-88dc-a6cc7cb83799","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#20 TYPE 149 - W018-1 Bedroom","Handover Checklist"
"bdd75871-656b-4b12-b3fb-6ce94e05b7d6","","fail","","folder","TRUE","FALSE","STAGE #1","#21 TYPE 642 - D018-1 Living HD"
"7044dffb-bf84-4fad-bff7-62d0301f4a8d","","fail","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#21 TYPE 642 - D018-1 Living HD","Pre Install Checklist"
"468902b2-f988-4b4f-af9f-583670bdb789","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#21 TYPE 642 - D018-1 Living HD","Installation"
"e3e71436-68a8-489a-b611-dcd91de82ed0","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#21 TYPE 642 - D018-1 Living HD","Glazing"
"b60ab34d-8e3b-46a9-8863-532ce892b1ba","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#21 TYPE 642 - D018-1 Living HD","Performance Tests"
