"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dd21cf9f-7757-4723-98d3-169084c12c98","","folder-normal","fail","","step","FALSE","FALSE","Site QA"
"2bfdad5b-c277-4de6-b373-407e4796a1bc","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Building North"
"9ff8acc9-aab7-4495-a877-c218efef9ac4","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Building North","Fitout"
"0fb4efdc-a9b7-4204-9e26-d13b3d9536ab","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 2"
"1f3a9ca1-0317-4382-aad2-8d3149d62a57","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 2","201-200L7 Lobby"
"765ea7b8-eae4-4404-972c-4a7ea1ea711c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 2","201-200L8 Lobby"
"c34e2457-c8fe-48a2-b148-0c01c18c6c76","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 2","201-200L9 Lobby"
"fdfb63c4-70dd-4566-af28-35ab35b14515","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 2","201-200S6 Stair 6"
"69d49cf6-54a3-4c89-8385-02db92cfcd84","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 2","201-265 POOL TEACHING 80p"
"d77284fe-01ac-4057-a9a7-a5455d9706bf","","checklist-flat","work-in-progress","Av Data Cabling","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 2","201-265 POOL TEACHING 80p","Av Data Cabling"
"26503eda-8a3e-427c-affa-2a873bf37119","","checklist-flat","pass","Av Data Cabling","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 2","201-265 POOL TEACHING 80p","Data Outlets"
"a8d69fd6-aeed-4441-b51c-a71cf3a5d1ae","","checklist-flat","work-in-progress","AV Equipment","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 2","201-265 POOL TEACHING 80p","AV Equipment"
"14aa2833-1f88-49f0-a650-45d4a4f262de","","checklist-flat","not-started","Data Cabinets","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 2","201-265 POOL TEACHING 80p","Data Cabinets ( Lectern Comms Terminations)"
"093cfaf9-9b71-44e0-b56d-aab28fde5afa","","checklist-flat","work-in-progress","Backbone Installation","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 2","201-265 POOL TEACHING 80p","Backbone Installation (Lectern Fiber)"
"7db847ff-eb8d-415a-b1c5-95c588c73f3b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 2","201-270 Plantroom"
"a9225238-24a1-4fff-a7ee-a6b5cd87485a","","checklist-flat","pass","Av Data Cabling","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 2","201-270 Plantroom","Data Outlets"
"5c050dd5-e63f-4397-9fdc-443b7a9a0376","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 3"
"7824db68-5837-4cfd-9a0e-1ba79e425b6c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 3","201-300L7 Lobby"
"60b1dba4-c4a6-4884-b7bb-627cf9eb0826","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 3","201-300S6 Stair 6"
"fda1c0e1-8abc-49e2-ab02-94da08ad85f2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 3","201-360 Riser 7"
"ed929cc7-a892-492c-8d07-150413ed2820","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 3","201-365 CALS-Small"
"5964d9a3-1d54-4023-a6fe-83310577b918","","checklist-flat","pass","Av Data Cabling","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 3","201-365 CALS-Small","Av Data Cabling (Including Speaker Cabling)"
"4179e251-a790-4239-8bbe-8892039d1143","","checklist-flat","pass","AV Equipment","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 3","201-365 CALS-Small","AV Equipment "
"40d16c6d-74e3-47b0-bd62-f5ae0e05966d","","checklist-flat","work-in-progress","Backbone Installation","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 3","201-365 CALS-Small","Backbone Installation (Fibers and Lectern Copper Ties)"
"92290057-eb69-4265-8d94-e0dfa26a1621","","checklist-flat","pass","Av Data Cabling","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 3","201-365 CALS-Small","Data Outlets (General Outlets) "
"b221259e-d30a-457a-b4d3-86ddfb142b12","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building North","Fitout","Level 3","201-367 CALS-Large"
"bbcf3b69-eec9-43a8-a2c3-d3310b27059d","","checklist-flat","work-in-progress","Av Data Cabling","checklist-flat","FALSE","FALSE","Site QA","Building North","Fitout","Level 3","201-367 CALS-Large","Av Data Cabling (Including Speaker Cabling)"
