Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Terrace Houses,,,,,,,,,,
,Scope,,,Site QA,Terrace Houses,,,,,
,Rows,,,,,,,,,
,,C1.5-1 - LG,dynamic,Site QA,Terrace Houses,C1.5-1,LG,,,
,,C1.5-1 - UG,dynamic,Site QA,Terrace Houses,C1.5-1,UG,,,
,,C1.5-1 - 1,dynamic,Site QA,Terrace Houses,C1.5-1,1,,,
,,C1.5-2 - LG,dynamic,Site QA,Terrace Houses,C1.5-2,LG,,,
,,C1.5-2 - UG,dynamic,Site QA,Terrace Houses,C1.5-2,UG,,,
,,C1.5-2 - 1,dynamic,Site QA,Terrace Houses,C1.5-2,1,,,
,,C1.5-3 - LG,dynamic,Site QA,Terrace Houses,C1.5-3,LG,,,
,,C1.5-3 - UG,dynamic,Site QA,Terrace Houses,C1.5-3,UG,,,
,,C1.5-3 - 1,dynamic,Site QA,Terrace Houses,C1.5-3,1,,,
,,C1.5-4 - LG,dynamic,Site QA,Terrace Houses,C1.5-4,LG,,,
,,C1.5-4 - UG,dynamic,Site QA,Terrace Houses,C1.5-4,UG,,,
,,C1.5-4 - 1,dynamic,Site QA,Terrace Houses,C1.5-4,1,,,
,Columns,,,,,,,,,
,,General,,general,,,,,,
,,Pipework,,pipework,,,,,,
,,Fans,,fans,,,,,,
,,Fan Coil Unit,,fan coil unit,,,,,,
,,Electrical,,electrical,,,,,,
,,Range Hood,,range hood,,,,,,
,,Condensor Unit,,condensor unit,,,,,,
