"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Plastering QA Progress"
,"Scope",,
,"Rows"
,,"B02 - level 0","dynamic","level 0","b02"
,,"b02 - level 1","dynamic","b02","level 1"
,,"b02 - level 2","dynamic","b02","level 2"
,,"b02 - level 3","dynamic","b02","level 3"
,,"b02 - level 4","dynamic","level 4","b02"
,,"b02 - stairs 1",,"b02","stairs 1"
,,"b02 - stairs 2",,"b02","stairs 2"
,,"B01B - level 1","dynamic","level 1","b01b"
,,"B01B - level 2","dynamic","level 2","b01b"
,,"B01B - level 3","dynamic","b01b","level 3"
,,"B01B - level 4","dynamic","level 4","b01b"
,,"B01B - level 5","dynamic","level 5","b01b"
,"Columns"
,,"pre application qa",,"pre application qa","plastering qa"
,,"fire stopping",,"fire stopping"
,,"gib stopping for walls",,"gib stopping for walls"
,,"gib stopping for ceiling",,"gib stopping for ceiling"
,,"handover checks",,"plastering qa","handover checks"

"Painting QA Progress"
,"Scope",,
,"Rows"
,,"B02 - level 0","dynamic","level 0","b02"
,,"b02 - level 1","dynamic","b02","level 1"
,,"b02 - level 2","dynamic","b02","level 2"
,,"b02 - level 3","dynamic","b02","level 3"
,,"b02 - level 4","dynamic","level 4","b02"
,,"b02 - stairs 1",,"b02","stairs 1"
,,"b02 - stairs 2",,"b02","stairs 2"
,,"B01B - level 1","dynamic","level 1","b01b"
,,"B01B - level 2","dynamic","level 2","b01b"
,,"B01B - level 3","dynamic","b01b","level 3"
,,"B01B - level 4","dynamic","level 4","b01b"
,,"B01B - level 5","dynamic","level 5","b01b"
,"Columns"
,,"pre application qa",,"pre application qa","painting qa"
,,"painting",,"painting"
,,"handover checks",,"painting qa","handover checks"

