"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1a523fa0-2030-4983-94eb-bf6bfd7982b7","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 31_16D02, 17D04, 18D13"
"ac26a4b4-83de-4975-bf0c-c9cca7b42664","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 32_16D03, 16D09"
"182af23c-a865-478f-ace0-4709d9100c22","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 33_15D04, 17D03, 18D07"
"f960b90d-7d02-4dab-9ae3-3d10f76e3880","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 34_14D09, 15D01, 15D03, 16D12"
"eaadf000-79d2-4b60-99ad-f835d83ea75d","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 35_15D08, 16D04, 16D06"
"be859cb5-dd6a-4767-b5fe-119faff5ee40","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 36_15D02, 15D07, 16D05"
"d321223d-60ca-451f-805e-185d14537482","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 37_17D01, 17D11, 18D12"
"077da834-e6c0-4e4c-97b1-1dabc37bad0d","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 38_22D02, 16D08, 18D02"
"f7209226-29c9-4ead-bf34-0319d38ac209","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 39_ 14D13, 14D16, 14D01"
"1504a16f-e523-4d7d-b5a3-cba028f0b2c2","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 40 - 14D15, 14D12, 14D11, 14D14, 17D05"
"da2666da-f19c-4f01-8eda-f1981c0470e8","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 41 - 14D02, 14D03, 14D10, 14D04, 15D06"
"be7593c4-a290-4545-98ab-f6b26b45c3ce","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 42 - 14D05, 14D06, 15D09, 15D11, 15D05"
"f271411a-7246-44ac-83b8-8295bb47428c","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 43 - 14D07, 14D08, 13D10, 13D09, 13D08"
"069da126-55b5-45f5-8854-0fda9b0d8ae3","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 44 - 15D10, 7D01,13D13,13D11, 13D14"
"32494f56-f16c-4756-a31b-342c33ef59b3","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 45 - 13D02 - 13D12, 12D05 (rejected)"
"c17ad223-3678-4695-8546-9e82effe0d71","","work-in-progress","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 46 - 13D04, 13D05, 13D06, 13D07, 15D12"
"29a75c5e-5964-4d7e-8c2f-2c5d1f82f006","","pass","Transversal Planks Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Planks","Cast 47 - 12D09, 12D11, 12D04, 13D03"
