"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"19ae1a8b-ddba-4c4f-a402-0f34c1791fa4","","pass","","folder","TRUE","FALSE","Site QA"
"9516b148-0b63-4bfb-8907-d41c74591116","","pass","","folder","TRUE","FALSE","Site QA","Bridge 1900"
"77a16014-8fb2-4059-a1bd-1d01944c2e58","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 1 - Beam 6  "
"d1e311ca-0e24-4b90-9c8a-471f43b62924","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 2 - Beam 5"
"c0ec2988-e4c7-4d79-9d13-b99531442b32","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 3 - Beam 4"
"6fd5bdee-287a-4c8f-ad4e-594b2df5fa6c","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 4 - Beam 3"
"1ab8e358-b08e-4040-ae3c-00e02aa73b55","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 5 - Beam 2"
"7a8500be-5e3c-4d26-8df6-2bd826ffae7f","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 6 - Beam 1 "
"ac863a91-7c00-4b26-bbd2-1ade8513146a","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 7 - Beam 7"
"d4cbe74b-a85e-4d66-9193-db73844428e8","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 8 - Beam 8"
"a415073a-46b5-43df-813d-a18de6a9dab7","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 9 - Beam 9"
"76eb7fa5-4611-4482-b0c0-ba0b58cd9eb4","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 10 - Beam 10"
"c8ace74d-79bc-4968-9093-9f38f9212111","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 11- Beam 11"
"f94489b8-300c-4ff3-8cb2-849796932fbb","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 12 - Beam 12"
"10b50244-93da-459b-b3fd-2f011bc40b5e","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA","Bridge 1900","Cast 13 - Beam13"
"f26363e1-ecbe-44cc-9a3e-7a062033a2b1","","pass","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Preliminary Activities and Materials Approval"
