"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3b8234e8-f84e-43d8-8989-be12c1dff0fa","","fail","","folder","TRUE","FALSE","Prelim Activities"
"aa807ea5-83a9-4279-a98f-80416d87d15d","","fail","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Prelim Activities","Preliminary Activities and Materials Approval"
"54f467dc-50bd-459c-aa33-5716c3387831","","work-in-progress","","folder","TRUE","FALSE","Casts - Biscuit Panels"
"7bbfa636-fd61-484e-bf1f-8cc0001c2c49","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 1"
"bacdb9e2-3f99-41d4-89f8-2993161f763d","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 2"
"1204aedd-ae3f-4785-bcfb-a9fb6b41c2f3","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 3"
"3e342ce2-16fa-4f8e-8a2e-4e08ba500ab0","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 4"
"e4189e3f-efc1-47be-b86f-9848e22c61ed","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 5"
"e515e69a-cc9f-4fa4-81eb-2dd09c90b69d","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 6"
"76f8dff7-c5d7-4358-8d5e-31138d4f6111","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 7"
"357bd97a-5498-48a1-a02b-614a256180ea","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 8"
"5ebc3a23-8706-4549-9e50-06bdb68aadc6","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 9"
"43f13829-a214-4b24-a9b9-6b38586035db","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 10"
"4616b35c-33ed-46a2-8db9-c0847a1e80c2","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 11"
"79658e7b-f39c-4020-9922-eed49476ac9f","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 12"
"85a5655a-66f8-43b6-8d11-b64ce4ee6944","","pass","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 13"
"d8310338-4c19-42b8-94e7-db167969e18a","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 14"
"ad0c0ca9-4f31-4bc3-9f23-ffd39305cb3b","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 15"
"9894fe18-6216-4f89-b851-09ca92ee461b","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 16"
"ab383c0e-9d8b-439b-9756-30591bed501a","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 17"
"ce250a92-7e6c-43e8-8c0f-54fb653eadff","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 18"
"483f35ae-0a89-43c8-a657-dac228cbcb11","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 19"
"3e6cdc2e-8f12-402f-8276-a91efe780ed5","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 20"
"502e00a9-f1fb-4e4b-85fa-a3b6469c823c","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 21"
"2dd3b46a-c5d7-4ca2-81a9-95ccd525956f","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 22"
"6900bf7d-a45a-446a-8962-dfd46ed28c01","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 23"
"7c98adc4-12c0-4fa3-ad7f-3c0b7a063edf","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 24"
"ec5d2a4b-9937-441b-8ff9-5ab65f609023","","work-in-progress","Cast ","checklist","FALSE","FALSE","Casts - Biscuit Panels","Cast 25"
