"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7c740c7-e4b9-41b4-9463-bc42d258b929","","fail","","folder","TRUE","FALSE","Site QA"
"e2ffce0a-d39b-4015-aa6d-397ec95f48c7","","pass","Preliminary Activities and Materials Approval Checklist","checklist","FALSE","FALSE","Site QA","Prelim Activities"
"54d63427-53dc-4e4d-adf4-990cebc9a9aa","","fail","","folder","TRUE","FALSE","Site QA","Byford Headstocks"
"bd719d1c-97b6-418d-a466-325ce16a280e","","not-started","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Test"
"f83da951-afc5-4eda-b6ac-7438e377a2c3","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 01 _ HS35-W"
"6d2ca230-a85b-4c1b-ad79-1cb2fcb7f2f8","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 01 _ HS31-CW"
"d27e6b7f-8f21-43bc-9778-7c34e7ff3838","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 02 _ HS35-E"
"2d277331-58bc-46e1-82a3-e63849150e78","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 03 _ HS36-W"
"f517df2c-1de3-485c-91a9-b8a8ecea3b65","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 03 _ HS31-W"
"60ad3432-b79e-406a-84b3-dc9de5210cd2","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 04 _ HS39-W"
"3cad73b7-e3bf-4e5c-8b80-01b2e9c41356","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 06 _ HS36-CE"
"060c6f74-769a-450e-8483-332659ce5a72","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 05 _ HS39-E"
"93bc7bba-c614-463d-a394-577f6b905492","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 07 _ HS36-E"
"35a994b3-fbed-4084-a57c-de5bb1b9ed82","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 08 _ HS31-CE"
"f8bcfd5a-80c8-4c15-aa48-741306bffcc7","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 08 _ HS31-E"
"09d6ddb3-f8fa-4724-977d-bd7b6f0b9c19","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 09 _ HS02-W"
"77c3cb7b-365d-4d21-9aaa-ecd3b1d243a1","","pass","Headstocks Checklist","checklist","FALSE","FALSE","Site QA","Byford Headstocks","Cast 10 _ HS05-W"
