"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9025b883-181f-4aaf-b255-48d082961f34","","pass","","folder","TRUE","FALSE","Prelim Activities "
"9a10bd0c-a99b-4659-afcb-42486176b8f3","","pass","8724e8c7fca79f3e4bcd0f00e6a133f6fe516ad76d2e7612834ebc4b50c53316","checklist","FALSE","FALSE","Prelim Activities ","Preliminary Activities and Materials Approval"
"e57c7bdc-aa1d-400a-b3ef-9e17ad92c5ea","","pass","","folder","TRUE","FALSE","Casts"
"eba18031-ef77-44ea-afee-e0d48dfa83ba","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 1 "
"d3e7ec61-eca1-4f8c-90cd-948348d30541","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 2 "
"22037cb8-0751-47a2-959f-eb1beb7f4a1f","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 3"
"8bc945b1-4286-4335-97df-c2dea4fdfd77","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 4 "
"354336d0-bf85-4f23-8579-a551e400af19","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 5"
"83864bb4-0ade-4813-99ac-1c4b2e53360e","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 6"
"59afd7e0-3011-44ab-9fd1-b2bfa46c01b2","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 7"
"6c56467b-9a5c-4697-8db5-435527639de5","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 8"
"c0df81aa-3375-431e-a27e-f1c678b67057","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 9"
"1357adc5-f97d-4411-aeb7-5f47167009e9","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 10"
"f3aa36db-e4f4-4e7f-ae66-2971e7726ca4","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 11"
"9b986fe3-e5ba-4fbf-85cf-5a56dead6c21","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 12"
"3ee1b375-56cf-488b-ba56-8796ef6ea01c","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 13"
"752ee9e5-fea8-491e-90cd-c293ceeb3708","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 14"
"c4e69b6d-d050-46ae-9839-7eaf71fa5f5b","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 15"
"4b2f8ee7-59e2-4f5e-b92e-0648123427cf","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 16"
"6cc15e72-fa0e-426a-a6c7-9b88a6a66d6c","","pass","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 17"
