"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b6824ccc-8308-4895-9688-a83c1013af3c","","work-in-progress","","folder","TRUE","FALSE","Site QA Beams"
"c8b36eb1-ba63-478f-81af-9bc4620deee7","","work-in-progress","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Site QA Beams","Prelim Activities"
"48b5493b-cd8e-445d-8198-fea31a94d686","","pass","","folder","TRUE","FALSE","Site QA Beams","23-J108 - BMD - Belmont Ave Pedestrian Bridge TeeRoff"
"e8da1182-f13a-4580-a0db-6ecadb6f6d3a","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA Beams","23-J108 - BMD - Belmont Ave Pedestrian Bridge TeeRoff","Cast 1 - PB 2"
"78b15f88-e8e8-48bf-aa57-4632ef0988f5","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA Beams","23-J108 - BMD - Belmont Ave Pedestrian Bridge TeeRoff","Cast 2 - PB 3"
"2b42fc6e-8e18-47b9-9d1c-7fcda9d705b2","","pass","Precast Beams","checklist","FALSE","FALSE","Site QA Beams","23-J108 - BMD - Belmont Ave Pedestrian Bridge TeeRoff","Cast 3 - PB 1 & PB 4"
"e998fbe7-4bd3-4869-8562-1dd6ec4020c9","","work-in-progress","","folder","TRUE","FALSE","Site QA Parapets"
"600b0f80-3f72-421d-8c1d-56160e3114f4","","not-started","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Site QA Parapets","Prelim Activities"
"2ccf8b54-0979-480b-b659-824c22cc448d","","pass","","folder","TRUE","FALSE","Site QA Parapets","23-J108 - BMD - Belmont Ave Pedestrian Bridge Parapets"
"bc2cde81-df06-4268-831e-411526410042","","pass","Precast Parapets","checklist","FALSE","FALSE","Site QA Parapets","23-J108 - BMD - Belmont Ave Pedestrian Bridge Parapets","Cast 1"
"5695c5e7-5ccb-4d29-84ea-59a02157960a","","pass","Precast Parapets","checklist","FALSE","FALSE","Site QA Parapets","23-J108 - BMD - Belmont Ave Pedestrian Bridge Parapets","Cast 2"
"7c882f78-d440-4126-b418-6029f3071741","","pass","Precast Parapets","checklist","FALSE","FALSE","Site QA Parapets","23-J108 - BMD - Belmont Ave Pedestrian Bridge Parapets","Cast 3"
