"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"531833e6-166b-47de-a408-f102a06b2ac7","","pass","","folder","TRUE","FALSE","Site QA"
"b5aa2f6b-dc4b-4e2e-a4ea-54511caf31bf","","pass","Preliminary Activities and Materials Approval Checklist","checklist","FALSE","FALSE","Site QA","Prelim Activities"
"80169119-4db3-4e34-8dfe-7b47c5742d5f","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 1"
"4bc25ae4-23fc-4f88-bcaf-b0de3d5e6981","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 2"
"17ecf9db-99c7-4991-977e-0c3a1bab509e","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 3"
"658e377b-c5bb-4468-a414-4d7f1b2d4f06","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 4"
"9c372bbe-6aaa-4e03-9359-05d0a9653096","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 5"
"5bc0b4b7-5ab0-4c4c-a61d-a7c251801b99","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 6"
"bdc2c510-154a-4ae3-ab10-7ae355c7a4c7","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 7"
"91370ed7-462d-48fd-9acf-d7c2ab5aeae9","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 8"
"556d8e6e-2aa7-4e79-8001-f6dbe35176a1","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 9"
"f47c8506-a63b-4b6d-8b4e-78c84df8c1c7","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 10"
"4b7f5402-c6fd-436b-8ea1-25503729aa4b","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 11"
"98c1051a-bca3-4602-b0ae-2ef7c23414d9","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 12"
"4574676f-9c5e-466e-b845-b023307d54e9","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 13"
"41297f3a-c081-4edf-96d0-7d0723d758dd","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 14"
"c8546aa1-ec5d-4fce-8865-4bd2b1c00879","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 15"
"e492d197-ae0c-4e3f-9463-26f42e8ea535","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 16"
"7f9b368b-434a-4491-845d-7edf77820064","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 17"
"431487da-3c9d-4f67-982b-784d658fa826","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 18"
"95ff9142-211f-44d6-be22-3ae54b07c12c","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 19"
"eb074831-43eb-4ac2-b202-6a9d20c92a5c","","pass","Maca Prestressed Planks","checklist","FALSE","FALSE","Site QA","Cast 20"
