"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ad5b9e85-8199-4d37-bb45-8fe5060a0c9e","","not-started","","folder","TRUE","FALSE","Prelim Activities"
"4f970b94-384e-4274-8fe3-e5f669093643","","not-started","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Prelim Activities","Preliminary Activities and Materials Approval"
"854ce987-214a-4a14-8b45-764895b48d7d","","not-started","Precast Planks","checklist","FALSE","FALSE","Prelim Activities","Cast 1 - Beam 2"
"612743d9-bbd6-4af0-841f-38156da2cca4","","fail","","folder","TRUE","FALSE","Casts"
"6d827ccd-ef0e-4605-9c2e-0f0ea869e3c8","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 1"
"9e8c894e-c4eb-4f43-b62f-d5ec5688fc65","","fail","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 2"
"7446f1d4-73b7-403f-8794-1282ad4847a2","","fail","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 3"
"425c42b0-b1a7-47a3-814d-05935e411c0d","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 4"
"56e081ac-62f4-485a-be1f-b2fa67b2d059","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 5"
"73cf952b-4770-45e8-9be6-3a70456e177e","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 6"
"fcfbb84a-7322-421a-a30e-923dcea1b59e","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 7"
"f9b0e955-1324-4408-8210-1e37efc8d339","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 8"
"d37e35d5-431c-446e-a260-a6aeeef4e002","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 9"
"4d1f1e4a-6c65-4e5d-9473-4e2d801fcd69","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 10"
"2085e521-10bb-478a-8b34-bd005537052d","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 11"
"a0239b1b-1dc5-4712-bd07-11118eaf221b","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 12"
"1abf7b1a-32f8-45b0-9639-70c80e51ad5b","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 13"
"c978018c-4ae4-4226-b743-112ac32ea6a5","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 14"
"f3d40b5e-9e44-4850-82ed-67540590c70e","","fail","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 15"
"941365cb-25a3-4108-8c66-b24330851215","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 16"
"5a00388e-a1f8-4652-b816-2d2907ababae","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 17"
"55888367-9a10-4ed6-b05b-057ab40a943c","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 18"
"b9a0f9ef-70a0-49b3-8151-c78e1227772d","","fail","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 19"
"3539f183-d8a2-4ce1-84c2-c3c9946fa08a","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 20"
"116801a4-b096-4ee4-9c41-573241396e30","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 21"
"84bb8188-5064-4002-a7ef-5b9a560bf00c","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 22"
"d4ab2b85-addf-4d25-be34-daecbda5da75","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 23"
"f19d7c9e-5c8b-4083-b1e9-31b7e34ad946","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 24"
"542244fa-37f0-4fd1-aa3c-94d59f9874a9","","fail","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 25"
"a1b1ca6b-b907-4c62-a266-b3f84845dc95","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 26"
"ecf45680-adb2-45c1-8da0-3302256a0674","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 27"
"761a49bb-d3c8-44bd-bb90-371732295bc5","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 28"
"daf77c47-d198-4973-8282-2c005bfc55ec","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 29"
"f6a71615-c7a3-4e2d-861b-8de998a2ac88","","fail","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 30"
"9524cd54-4f47-4848-a84a-3767a6c952de","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 31"
"80bb6e6b-14f6-44e6-8ab5-961d50ded2b8","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 32"
"aac03ce7-e32d-4e4c-a237-45bd87968738","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 33"
"2cf6e5b0-5622-42d0-be87-44139b0d85d0","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 34"
"1c5e51fa-8701-44ce-bb4e-b7d86dc14980","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 35"
"9c8a7be6-89a2-4f33-8233-c5421c10c62f","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 36"
"f9847cc7-41f0-4d68-a360-af9f60cdb1fd","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 37"
"6aa7e7e5-9057-489d-9fda-b08c70986f4d","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 38"
"1b1c4bca-a203-4e7f-b5a1-d2b0c01314dd","","fail","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 39"
"e6392717-3dd2-4af4-812b-0d6269590eae","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 40"
"d6cbba0e-853c-423a-9e96-33d40117eece","","work-in-progress","Precast Planks","checklist","FALSE","FALSE","Casts","Cast 41"
