"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d24606ca-8a41-4de9-a2ed-469155e03203","","no-status-not-started","","folder","TRUE","FALSE","Prelim Activities"
"385ce22c-ab6d-464a-b129-79b3b449ce5d","","work-in-progress","","folder","TRUE","FALSE","Alkimos Train Station – Shell / Trimmer Beams"
"19f5fb4e-68f7-4a58-b218-de19b3d8cb44","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 1"
"82df46aa-03c5-45d0-8195-97583945853b","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 2"
"d4c0d088-b33e-4c68-a627-12756947b285","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 3"
"e9c87f5e-e032-4843-bf9e-14a13122490a","","work-in-progress","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 4"
"ef01948c-5f20-43cb-91ef-99b33d9c084d","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 5"
"30c3cb87-93fe-4fd8-9217-b25992a5ba36","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 6"
"2510945b-3f18-4ca4-bd93-a18287147ff4","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 7"
"19353e52-5bff-41f9-8943-f5ca6edefb24","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 8"
"e442c2cf-5b48-4fa1-9f53-fe2a02076d61","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 9"
"0e1b3055-102c-4312-a297-a468a74834ef","","pass","Shell / Trimmer Beams - Cast","checklist","FALSE","FALSE","Alkimos Train Station – Shell / Trimmer Beams","Cast 10"
