"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"58538f99-8a46-426d-b5a6-89894c7ecf69","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"bdea481b-5aee-46b4-ac1a-124846dbdae6","","work-in-progress","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Site QA","Prelim Activities"
"22f95fdf-2489-47f9-a14c-066eb190f0a7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","24-J181 B3197 Talbot T-Roffs"
