"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27a5e7f6-96eb-43c1-a2bb-d8b25cdc490d","","folder-normal","","","step","FALSE","FALSE","Manufacturing QA"
"05f28309-aef5-4ce7-87d4-ee8b540a7cca","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L1"
"dc778e92-a458-442a-95cb-d5edea7e10d8","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L1","Flooring"
"48ce65d9-1f74-4a94-9e43-7b31b190842e","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L1","Flooring","GD"
"fca5ab67-f5d0-47c0-88e3-cc13b6acc330","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","L1","Flooring","GD","230601-18"
"f075168d-1250-44ab-9651-759cad9d608e","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L1","Production Layout Sheet"
"b433b239-3a11-4d61-85eb-a078849b9402","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L1","Dispatch Layout Sheet"
"b241c4d7-a42a-42e2-acc0-7f4c4289c1b4","","checklist-flat","","Precast Compliance Documents","checklist-flat","FALSE","FALSE","Precast Compliance Documents"
"3c53b60e-c1f4-4fb1-bbe6-00c6b18a115b","","folder-normal","","","step","TRUE","FALSE","Dispatch "
"3bd61203-cc9a-410a-9268-8185484bebfc","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Dispatch ","D002"
"7f94c6a0-2243-4c71-ba03-401cb0b9ed55","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Dispatch ","D001"
