resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,
Job Details,,,checklist,,,Quay - QA,,,,,,,,,,,,
,,,step,,,,Level 5,,,,,,,,,,,
,,,step,,,,,Panel,,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-02,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-09,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-14,,,,,,,,,
,,,step,,,,,Balustrade,,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-20,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-21,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-22,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-23,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-24,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-25,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-26,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-27,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-28,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-29,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-30,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-32,,,,,,,,,
Manufacturing Checklist,Delivery Checklist,Installation Checklist,folder-with-checklists,,,,,,05-33,,,,,,,,,
