"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Deck QA Progress"
,"Scope",,
,"Rows"
,,"Ground Floor","dynamic","ground floor"
,,"Level 1","dynamic","level 1"
,,"Level 2","dynamic","level 2"
,,"Level 3","dynamic","level 3"
,,"Level 4","dynamic","level 4"
,,"Level 5","dynamic","level 5"
,"Columns"
,,"Application of primer",,"application of primer"
,,"Installation of Profili Bitumen 20mm Angle Fillet",,"installation of profili bitumen 20mm angle fillet"
,,"Installation of Nuraply 3PB and 3PM membrane...",,"installation of nuraply 3pb and 3pm membrane onto existing concrete substrate"
,,"2 Coats of Nuraglaze over Nuraply 3PM",,"2 coats of nuraglaze over nuraply 3pm"

