"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"16a2782d-ee4f-4d33-b468-deb50ecda756","","work-in-progress","","folder","TRUE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks"
"94e29ae8-970c-4b00-aaa7-f6fecb3de456","","pass","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-025 - East GRE Subgrade"
"1277a7e0-5e8d-4a94-8524-0ce3151c531e","","pass","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-026 - CWT Pavements Subgrade"
"0f2fae5e-4874-4a07-86e3-6cf4e6163050","","pass","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-027 - CWA111 - CONCRETE PAVEMENT AREA"
"e151c8b8-83a8-42e1-b8c5-5dd216673caa","","pass","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-028 - CWA-114 - CONCRETE PAVEMENT AREA"
"101b7979-ed14-4b71-a25d-2265b8435fed","","pass","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-029 - CWA113 - CONCRETE PAVEMENT AREA"
"544a0d04-b9c6-43d2-a17d-026fb015a145","","pass","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-030 - CWA112 - CONCRETE PAVEMENT AREA"
"b4ce5e38-6ca1-4994-b485-afd574fb5888","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-031 - CWA115 - C/R PAVEMENT AREA - SUBSTATION"
"d5ae007a-4668-4089-9a21-feef5084ea8a","","pass","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-033 - PAR-01"
"13a45962-4fef-449b-a1e3-f71604b2d9e2","","pass","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-034 - PAR-02"
"930a6a92-a29d-4f2b-8bbe-603420032710","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-035 - West Crushed Rock Pavements"
"9f085fa4-f292-4d72-b853-c3abb7351f55","","pass","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-036 - South Rd - Flare"
"b69f7e46-6e40-4615-b608-807208a7b39c","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-037 - CWA-115 - C/R PAVEMENT AREA - SUBSTATION NORTH WEST"
