"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a0d441be-fed8-4f7c-98f2-73701c425130","","work-in-progress","","folder","TRUE","FALSE","ITP-003 - Stormwater Drainage"
"2d90f6a7-dbd6-4b74-b69b-523e30291b7c","","work-in-progress","ITP-003 - Stormwater Drainage","checklist","FALSE","FALSE","ITP-003 - Stormwater Drainage","ITP-003 - Stormwater Drainage - Lot 1 - Victoria St Tree Pits & D-05 - 6/09/24"
"3e03d7e0-8492-4109-af1b-3c693cbf9a25","","work-in-progress","ITP-003 - Stormwater Drainage","checklist","FALSE","FALSE","ITP-003 - Stormwater Drainage","ITP-003 - Stormwater Drainage - Lot 2 - 13/09/24 - D01 - D02"
"af311874-cf51-47e6-bb68-d10e4c5d636d","","work-in-progress","ITP-003 - Stormwater Drainage","checklist","FALSE","FALSE","ITP-003 - Stormwater Drainage","ITP-003 - Stormwater Drainage - Lot 3 - 16/09/24 - D02 - D03"
"ac1a38a3-e795-4d2b-9b1b-c5a9842184c2","","work-in-progress","ITP-003 - Stormwater Drainage","checklist","FALSE","FALSE","ITP-003 - Stormwater Drainage","ITP-003 - Stormwater Drainage - Lot 4 - 17/09/24 - D03 - D04"
"bc343664-ab97-4cd6-9019-68832f60b743","","work-in-progress","ITP-003 - Stormwater Drainage","checklist","FALSE","FALSE","ITP-003 - Stormwater Drainage","ITP-003 - Stormwater Drainage - Lot 5 - 18/09/24 - D04 - D05"
"9182d088-f70b-4fab-9586-a3dba31da85b","","work-in-progress","","folder","TRUE","FALSE","ITP-004 - Subsurface Drainage"
"68dc7f89-46e0-42aa-97ff-ccd7eff1dc12","","work-in-progress","ITP-004 - Subsurface Drainage","checklist","FALSE","FALSE","ITP-004 - Subsurface Drainage","ITP-004 - Subsurface Drainage "
"e263c96d-e8c8-4c0f-b1b7-494240da4e9b","","work-in-progress","","folder","TRUE","FALSE","ITP-005 Tree Pits"
"9e729501-0260-4a47-8c7b-320578908e9a","","work-in-progress","ITP-005 - Tree Pits","checklist","FALSE","FALSE","ITP-005 Tree Pits","ITP-005 - Tree Pits"
"7e1c9546-cd25-44fa-a99c-207548829eee","","work-in-progress","","folder","TRUE","FALSE","ITP-006 - Bluestone Kerb"
"508a0bc2-062d-4a65-9387-1ff461ef092d","","work-in-progress","ITP-006 - Bluestone Kerb Installation","checklist","FALSE","FALSE","ITP-006 - Bluestone Kerb","ITP-006 - Bluestone Kerb Installation - Lot 1 - 14/09/24"
"3d1bddaf-a7d8-48e3-b2bd-99a885962282","","work-in-progress","ITP-006 - Bluestone Kerb Installation","checklist","FALSE","FALSE","ITP-006 - Bluestone Kerb","ITP-006 - Bluestone Kerb Installation - Lot 2 - 15/09/24"
"2c4ffefd-026e-4222-9e2a-020d09fd78ed","","work-in-progress","","folder","TRUE","FALSE","ITP-007 - Bluestone Footpath"
"e07a931b-7c92-4a9d-bcd6-7032699f6745","","work-in-progress","ITP-007 - Bluestone Footpath","checklist","FALSE","FALSE","ITP-007 - Bluestone Footpath","ITP-007 - Bluestone Footpath "
"5e031a2f-368c-4b10-87ca-0120799a4eec","","not-started","Contract HoldPoint Checklist","checklist","FALSE","FALSE","Contract HoldPoint Checklist"
