"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cebf4bb2-baf2-4ac6-a35c-fa02f0a1178b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"30f82176-f395-4026-adc3-88453384585b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road"
"900ac462-683c-4618-a0af-42ca44917182","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road","AC00088"
"0b759d6b-623a-4018-95c7-5b7dc055b4ad","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road","DM00869"
"a862cce9-db08-4041-8529-4f57c127f370","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road","DM00870"
"e2e7cf29-b045-4a05-9bdb-7c01871eb5a0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road","DM00549"
"7070c49a-3c50-441a-a8d9-baabc4a5f600","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road","DM00548"
"9af64714-e9ee-464e-ba4c-ecab7796cb4b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road"
"c2da1f20-d8cc-4efa-83b2-e222c294cf01","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road","DM00583"
"cb76a27f-c7d8-47a5-aa3f-dede3ac5533d","","checklist-sectioned","not-started","SYM-0388-ITP-001 Site Clearing [B]","checklist","FALSE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road","DM00583","Lot 1 clearing"
"46c5db38-4768-46d8-b665-428020e94305","","checklist-sectioned","work-in-progress","SYM-0388-ITP-002 Earthworks [C]","checklist","FALSE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road","DM00583","SYM-0388-ITP-002 Earthworks [C]"
"550e99cc-c1df-404b-bc6f-afd4fa129061","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road","AQ00001"
"21a64a0d-d94c-499f-a1ae-ae48a1340023","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road","NH00011"
