"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"85e54856-06bd-4ded-940f-910d5a71b3f3","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"83aea595-6c9f-44f4-834c-6bf730a387ad","","not-started","","folder","TRUE","FALSE","Site QA","Drainage"
"feba4368-3cec-43be-b258-e6c984a33299","","not-started","","folder","TRUE","FALSE","Site QA","Drainage","Block 3C"
"3e5a2c6a-aee9-4191-8fb1-361348ce2a7a","","not-started","","folder","TRUE","FALSE","Site QA","Drainage","Block 3C","Lot 326"
"1280a79b-a82c-4722-92a8-6aa144c41998","","not-started","","folder","TRUE","FALSE","Site QA","Drainage","Block 3C","Lot 326","Drainage"
"b00aa316-90a4-4ef9-8d77-426eed65971e","","not-started","","folder","TRUE","FALSE","Site QA","Drainage","Block 3C","Lot 326","Drainage","SD Install Sewer/Stormwater Drainage"
"259f046b-225c-4be9-a704-12fc342dac3c","","not-started","68f96918617d4d57a9b029d4df7774c86198b43fef86c373a34f37afbb0fe5ab","checklist","FALSE","FALSE","Site QA","Drainage","Block 3C","Lot 326","Drainage","SD Install Sewer/Stormwater Drainage","SD Install Sewer/Stormwater Drainage"
"a380477d-bcd5-41fb-b4b8-2e545cf86dea","","not-started","","folder","TRUE","FALSE","Site QA","Drainage","Block 3C","Lot 326","Drainage","TST Test Sewer/Stormwater Drainage"
"e2b1475f-04c5-453b-9d33-0a2c8e177488","","not-started","10658b67a0bdeeedaccc79737defc142676639514c99dea3fb20f413439925b9","checklist","FALSE","FALSE","Site QA","Drainage","Block 3C","Lot 326","Drainage","TST Test Sewer/Stormwater Drainage","TST Test Sewer/Stormwater Drainage"
"8761de80-63ed-4b66-94eb-2548db48fa22","","not-started","","folder","TRUE","FALSE","Site QA","Drainage","Block 3C","Lot 327"
"c521c16b-6a54-4057-9308-3c9d96d9013e","","not-started","","folder","TRUE","FALSE","Site QA","Drainage","Block 3C","Lot 327","Drainage"
"40021c21-b76c-4d8b-948c-327911f4a9ce","","not-started","","folder","TRUE","FALSE","Site QA","Drainage","Block 3C","Lot 327","Drainage","SD Install Sewer/Stormwater Drainage"
"776e15f7-ca0f-4e30-91b5-1721917af251","","not-started","68f96918617d4d57a9b029d4df7774c86198b43fef86c373a34f37afbb0fe5ab","checklist","FALSE","FALSE","Site QA","Drainage","Block 3C","Lot 327","Drainage","SD Install Sewer/Stormwater Drainage","SD Install Sewer/Stormwater Drainage"
"7d7f08b9-baeb-4037-8d04-fb1f8361bd6c","","not-started","","folder","TRUE","FALSE","Site QA","Drainage","Block 3C","Lot 327","Drainage","TST Test Sewer/Stormwater Drainage"
"b2192553-a64c-4174-9973-0ccb545315ba","","not-started","10658b67a0bdeeedaccc79737defc142676639514c99dea3fb20f413439925b9","checklist","FALSE","FALSE","Site QA","Drainage","Block 3C","Lot 327","Drainage","TST Test Sewer/Stormwater Drainage","TST Test Sewer/Stormwater Drainage"
