Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,Earth Pegs,,,,,Yes,Earth Pegs,192c818e-10bb-416e-80dd-f8df6584925a
checkpoint-status,,,checkpoint,Continuity test [Peg to Earth Bar],,,,,,,
text,27546946-fd15-5ebc-b9e1-a3c2ade9e860,,textbox,Result:,,,,,,,
label,70453c49-9beb-568d-ae5c-0bae81cc53c9,,note,Pass if < 0.5 ohm,,,,,,,
checkpoint-status,,,checkpoint,3 Wire Earth test,,,,,,,
text,8c1f08ed-994f-5329-b116-f2837397d159,,textbox,Result:,,,,,,,
label,f2c9b208-609c-534e-ba61-aaf993a319c4,,note,Pass if < 10 ohms,,,,,,,
