Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,Cadwelds,,,,,Yes,Cadwelds,dc8b8cc5-c69f-4bb2-a5e4-d1e824c125f1
checkpoint-status,,,checkpoint,"Mold type, # and cable size identified",,,,,,,
select,58f6a4e7-1d04-5cde-93ef-7e40e831a9d1,,dropdown,Select mold type:,"GT 50mm SQ to 16mm S/S vertical rod, XBQ - 50mm SQ to 50mm SQ crossover, TA 50mm SQ Horizontal Tee, XA 185mm N/C run to 185mm N/C4 120mm, T.A. 185mm N/C run to 50mm Horizontal Tee, X.A. 185mm N/C run to 185mm N/C Tap, X.A 185mm N/C # 50mm run to 185mm N/C # 50mm Tap, T.A 185mm N/C Run to 120mm N/C Horizontal Tee, T.A. 185mm N/C Horizontal Tee, T.A. 35mm SQ Run to 120mm SQ N/C Tap, T.A. 120mm SQ Non-Compacted Tee",,,,,,
select,ed4c3d61-22c0-5062-9fb5-da4c63055431,,dropdown,Select mold #,"GTC-312C, XBQ-2C2C, TAC-2C2C, ZC-11159Z, TAC-3D2C, XAC-3D3D, ZC-11160Z, TAC-3D2V, TAC-3D3D, TAC 1V2V, TAC 2V2V",,,,,,
select,e5b516be-85a2-5c47-b47f-efa34c9ff8ee,,dropdown,Select cable size,"50mm to 16mm Earth Rod, 50mm to 50mm Tee, 50mm to 50mm Cross, 185mm to 185mm Tee, 185mm to 120mm Tee, 185mm to 120mm Cross, 185mm to 185mm Cross, 185mm to 50mm to 50mm Cross, 50mm to 70mm, 50mm to 50mm flex Tee Tee, 35mm to 120mm Tee, 120mm Tee",,,,,,
checkpoint-status,,,checkpoint,Cadweld Visual test,,,,,,,
label,cf769ffa-19a3-53d5-b2b0-17f24f167bf3,,note,Please attach photo,,,,,,,
checkpoint-status,,,checkpoint,Cadweld Ductor test,,,,,,,
text,8f241dee-9f26-5c9b-8c5e-2be746e82030,,textbox,Result :,,,,,,,
label,d7d48c05-1241-53e6-9f38-33af9b186328,,note,Pass if <50 micro ohms,,,,,,,
label,90da1cf9-9cc7-5192-ba3c-dc725a36da23,,note,Please attach photo,,,,,,,
