"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a8bc8ac3-f10b-5274-9ef2-da358bd2ff88","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #4","Continuity test [Peg to Earth Bar]"
"ed01816c-ae7c-5d35-bb4f-2006fbbca7fe","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #4","3 Wire Earth test"
"8b770899-7ebb-4706-a742-11cc7e7dc72c","","checklist-flat","work-in-progress","Earth Pegs","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #5"
"bb2623d5-b70e-5e91-b726-68a3ff5ad225","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #5","Mold type identified"
"4688db5c-17cd-58ad-94df-0eb774ccb178","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #5","Cadweld Visual test"
"3974ba13-cf60-5827-bc25-c36d83499ed7","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #5","Cadweld Ductor test"
"0c5c9d73-f5a8-5ece-ac94-58290c93dc55","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #5","Continuity test [Peg to Earth Bar]"
"ab1d9ec6-e0bb-5730-b9f3-58e53a439876","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #5","3 Wire Earth test"
"df604f1a-6331-4eb8-a6a8-1f0b1267bdee","","checklist-flat","work-in-progress","Earth Pegs","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #6"
"df94048b-7dbc-5d0c-a142-33c19cf4281c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #6","Mold type identified"
"3ec5ab41-f234-5155-b65a-7420d55afe64","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #6","Cadweld Visual test"
"5612236f-2eb4-5929-8b58-fae2c3d448da","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #6","Cadweld Ductor test"
"f328d00e-0484-5ba7-aee1-842359da7925","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #6","Continuity test [Peg to Earth Bar]"
"89991575-31a8-59a0-839f-633ea633d347","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #6","3 Wire Earth test"
"28472051-4585-47b8-a95f-bca486158766","","checklist-flat","work-in-progress","Earth Pegs","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #7"
"e862c54c-7598-5794-8c0b-38a97443ed68","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #7","Mold type identified"
"29d7d9d9-e71b-53ae-8192-9226cca4d2f1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #7","Cadweld Visual test"
"5516ad5f-19cb-5241-adc5-e6d0e26f7719","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #7","Cadweld Ductor test"
"295e3e15-385d-5c6c-87d9-d0e679ca5deb","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #7","Continuity test [Peg to Earth Bar]"
"c1d9bcd7-0db7-5030-b580-9eb9207cdf26","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #7","3 Wire Earth test"
"417a3241-2d4b-4db9-ad8b-81196a2134fd","","checklist-flat","work-in-progress","Earth Pegs","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #8"
"628dad76-f3f9-550a-8f03-f2c753cda900","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #8","Mold type identified"
"f8a26181-cd4c-5b18-87cb-ffb5dc3ccd36","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #8","Cadweld Visual test"
"8ff07a24-0c4c-5744-b2e7-1f1d5e8ecbc5","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #8","Cadweld Ductor test"
"51fb1200-e62e-58e4-ac91-f9789063c5c0","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #8","Continuity test [Peg to Earth Bar]"
"7eb0fb7f-a7b1-59f4-8d77-17dddbfc6cc2","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Earth Pegs","Earth peg #8","3 Wire Earth test"
"5a4fe931-454c-4b52-9734-e59c5f4bd9d3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds"
"25a0081d-361b-46d7-b59b-82617cc20aa0","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #1"
"c03730f6-124e-51a4-aaca-15cc9d2b2f0f","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #1","Mold type, # and cable size identified"
"e3efa7cd-1f00-5a56-96c5-0607f843affb","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #1","Cadweld Visual test"
"72c58813-ccea-5b75-8113-8e67827f98c1","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #1","Cadweld Ductor test"
"1ca69791-2f80-5240-a2d3-51efe799b1e3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #1","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"bf2a60b4-2279-5ce3-9e6b-6eda6738928d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #1","GPS coordinates taken"
"6452f5dd-7fc1-4ce0-aee2-71b8e411dc51","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #2"
"3acb4922-c5cc-5b56-9c4d-bbecbd32ff69","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #2","Mold type, # and cable size identified"
"366a6502-8b03-522c-8a77-ace7cc5ba9cc","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #2","Cadweld Visual test"
"7dd36488-0447-5907-9cb6-eb78aa73a933","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #2","Cadweld Ductor test"
"a560461b-3cdd-5792-bd91-932a8f286ec9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #2","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"467deb4d-57da-5d09-86d9-ea3bfce01941","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #2","GPS coordinates taken"
"67f63392-d591-447d-bf93-985bb644532e","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #3"
"6c055ccc-ae2f-5e55-97d4-e3c4e5c1d2fb","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #3","Mold type, # and cable size identified"
"f12782a8-ab4b-597f-bf22-62a135262b86","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #3","Cadweld Visual test"
"de7592e4-941b-5297-ba3d-901f286a8612","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #3","Cadweld Ductor test"
"138f1fb4-9caf-5038-9b9d-2a5640200f3a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #3","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"ab351da3-595e-587d-8b62-b13ede0cb867","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #3","GPS coordinates taken"
"653dc479-ce7c-4178-9993-580dbc575a6d","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #4"
"c131d6e7-83d8-54cc-b2b7-eb45a2fcf55a","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #4","Mold type, # and cable size identified"
"68a81c15-2d1c-59f5-ad90-7687593e432c","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #4","Cadweld Visual test"
"351850ec-e80a-54f7-9d4f-d43848728d80","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #4","Cadweld Ductor test"
"14a53ff3-7317-564f-9123-0e815f81ce96","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #4","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"1f8d93d9-30a4-5689-aa1b-9584ae7ed49a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #4","GPS coordinates taken"
"5b549bfe-da8f-4c3c-a090-abd9fb8d9055","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #5"
"6d34b713-95a2-5ab2-a705-2fac17826886","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #5","Mold type, # and cable size identified"
"3721bed9-b094-5041-916d-441f1323f54c","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #5","Cadweld Visual test"
"63f2ba2c-2663-558f-9bb8-7e5c4fe5e07d","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #5","Cadweld Ductor test"
"c5b86ee0-d9f6-57d0-9396-6b2ec69d1384","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #5","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"805f223b-a719-5f2a-b020-43d547dd408f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #5","GPS coordinates taken"
"ce968b80-1b83-4fdf-bbbb-0667f2662481","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #6"
"d149b6e3-a63b-5c66-afed-fa288b6c145a","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #6","Mold type, # and cable size identified"
"8a527fa0-19df-5761-8401-17faa91d77ef","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #6","Cadweld Visual test"
"1285a8e2-2bdd-5d2f-944a-e49172e39908","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #6","Cadweld Ductor test"
"d03f1726-3ed0-5d01-9eaa-06323863d2cd","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #6","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"9b44b649-652a-5911-b571-6d089e451527","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #6","GPS coordinates taken"
"1c3c7467-ae2f-4493-b78e-d4feb2ed64c3","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #7"
"7f0d5486-b24f-56b7-b6ed-65f372740f33","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #7","Mold type, # and cable size identified"
"282d54e9-a65b-5726-8dd8-dba19bd4ec69","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #7","Cadweld Visual test"
"60982b8c-8bfd-508b-9b23-34c80717eb3b","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #7","Cadweld Ductor test"
"1b305caf-05da-564d-9911-f23028ac0ed7","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #7","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"6deb9a48-8926-5c56-89ad-6d7a54d66737","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #7","GPS coordinates taken"
"39432de0-4315-4f2f-adf6-3ef203812373","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #8"
"7ceb931a-e4ad-568d-8757-ebfb640cfb97","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #8","Mold type, # and cable size identified"
"cb356eb4-79c2-5f50-8e10-63d6e3929ff8","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #8","Cadweld Visual test"
"eac8a631-31f4-5e04-8d41-30fd47530942","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #8","Cadweld Ductor test"
"d527c950-90f5-5339-af8a-c09c9aa193e8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #8","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"99b29044-434a-5df7-ad1a-935ce7beef05","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #8","GPS coordinates taken"
"b3305d21-c189-4981-a622-69c6cab362b5","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #9"
"67b4c45f-9b20-52d0-9382-fd535ff7d599","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #9","Mold type, # and cable size identified"
"fb873a27-3725-5911-bde6-f63c476d2ca7","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #9","Cadweld Visual test"
"d4b01f2d-af40-5672-9220-2f34e8526797","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #9","Cadweld Ductor test"
"d9042835-bd75-5d5f-a73a-966504e61cd8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #9","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"45e0ad62-67ac-554f-8c68-245af874ee78","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #9","GPS coordinates taken"
"649bef3c-191b-41ba-ac6d-81ae8ae4529d","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #10"
"2b28a59c-b008-5332-b3d0-223945e230b2","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #10","Mold type, # and cable size identified"
"b2b4189a-2a8b-59e9-8895-f4076fe3e9cd","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #10","Cadweld Visual test"
"66f72ce1-95f3-539f-8049-53a924e0e968","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #10","Cadweld Ductor test"
"4d40db32-8436-5f1c-b6a6-c54ed9931b19","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #10","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"9bd58552-5b9b-5826-99a5-e9ddddd255a9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #10","GPS coordinates taken"
"b1da476a-2f77-44e1-be34-f3cf7aaa75b4","","checklist-flat","pass","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #11"
"79db5944-9487-5d5f-86a8-f1e98001b621","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #11","Mold type, # and cable size identified"
"367a4aea-7d08-5157-8ea6-863a095aba55","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #11","Cadweld Visual test"
"9607c32c-790a-5811-8d38-f0ef6ea4157d","","checkpoint-status","pass","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #11","Cadweld Ductor test"
"d08fee25-2b77-5954-addf-eaef242a38f6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #11","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"4da528f8-6728-5a0f-bc28-39bd75a513ac","","checkpoint-status","not-applicable","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #11","GPS coordinates taken"
"3afe9cef-6df1-4f35-927d-e76b93c3e226","","checklist-flat","not-started","Cadwelds","checklist-flat","FALSE","FALSE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #12"
"eef148f1-fa24-5042-95ab-dc4d6410621d","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #12","Mold type, # and cable size identified"
"76823c9c-278c-503d-844a-ef7510805361","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #12","Cadweld Visual test"
"85a57324-e271-50d5-a64b-7933fafc697b","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #12","Cadweld Ductor test"
"285d4196-744f-5f2f-a169-6b32689f2ff2","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #12","Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE"
"01433cd3-41a8-50a2-91a8-775e4f1bdf5b","","checkpoint-status","not-started","","","TRUE","TRUE","Wiri 1 - Hydrogen filling station","Earthing","Cadwelds","Cadweld #12","GPS coordinates taken"
