"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"173047aa-5937-45d5-bbe6-f0e7d5d3610c","","not-started","","folder","TRUE","FALSE","Internal Stairs / Void - L-02 & L-03"
"ef4ad09f-5a6c-4731-9e65-2c952e2a6b80","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Internal Stairs / Void - L-02 & L-03","Void - L-02 & L-03"
"6fa47404-5e63-48a8-86b4-684ca0f95d80","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Internal Stairs / Void - L-02 & L-03","Stairs - L-02 & L-03"
"97b1c43d-54f8-4dd6-966a-91ba30d16414","","not-started","","folder","TRUE","FALSE","Internal Stairs / Void - L-04"
"4f0fd71b-72ce-4944-80a6-fd2ccc1eb61f","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Internal Stairs / Void - L-04","Void - L-04"
"d63c46d8-c386-49ec-bc86-9aef08b6a3d6","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Internal Stairs / Void - L-04","Stairs - L-04"
"59899f13-fa31-411f-b5f8-826d8614d588","","not-started","","folder","TRUE","FALSE","Internal Stairs / Void - L-05"
"a0465f25-d941-4aac-ad3d-83d852d8680c","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Internal Stairs / Void - L-05","Void - L-05"
"f50fd052-c0f6-4268-bb61-b6ed32f112eb","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Internal Stairs / Void - L-05","Stairs - L-05"
"cc2f25cb-f1d6-4b38-8edc-aaf0805b151e","","not-started","","folder","TRUE","FALSE","Internal Stairs / Void - L-06"
"5c05b19b-4297-40aa-a5e9-ab8ce65f4d2b","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Internal Stairs / Void - L-06","Void - L-06"
"841bb354-5328-40f6-843d-9a1cecc33a2c","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Internal Stairs / Void - L-06","Stairs - L-06"
"85b7047c-5a5b-4b35-93fb-b95ec49a7e01","","not-started","","folder","TRUE","FALSE","Internal Void - L-07"
"56332528-a699-41c8-8f09-8498da269cd1","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Internal Void - L-07","Void - L-07"
"b82ce320-8d09-4ba0-a1a3-6eccc5f144de","","not-started","","folder","TRUE","FALSE","Attrium Stairs"
"aaabcd0a-cbf6-45d5-af02-64dd78ec23db","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Attrium Stairs","Attrium - Stairs"
"6951c5ab-15e9-4ee6-bdc1-c8721b323821","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Attrium Stairs","Attrium - Landings"
