Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,
e48d6a28-f633-5e1c-8e36-ffaa710aa1fd,,checkpoint-status,not-started,,,TRUE,TRUE,Site QA ITP List,CRL-ITR-001 - Mechanical Duct,Second Fix QA,Flexibles installed and supported correctly,,,,,
d885914b-73a4-55dc-ae9b-3e6f8ebdff2a,,checkpoint-status,pass,,,TRUE,TRUE,Aotea Station,L3 Plant,CRL-AOT-MEC-AES-DRG-148701/702- Zone 11A/11B (Ducting),Stair Pressure and Lobby Relief,Second Fix QA,Flexibles installed and supported correctly,,,
3253fa92-d001-53f0-9e5a-979b24081291,,checkpoint-status,not-started,,,TRUE,TRUE,Aotea Station,L3 Plant,CRL-AOT-MEC-AES-DRG-148701/702- Zone 11A/11B (Ducting),CRL-ITR-001 - Mechanical Duct,Second Fix QA,Flexibles installed and supported correctly,,,
1fbfb82e-742f-5109-a247-41964c00169a,,checkpoint-status,not-started,,,TRUE,TRUE,Aotea Station,L2 Plant,CRL-AOT-MEC-AES-DRG-148601/602-Zone 11A/11B (Ducting),CRL-ITR-001 - Mechanical Duct,Second Fix QA,Flexibles installed and supported correctly,,,
bd1f075d-98bf-5726-8a74-af1db9924130,,checkpoint-status,not-applicable,,,TRUE,TRUE,Aotea Station,L1 Plant,CRL-AOT-MEC-AES-DRG-148501/502- ZONE 11A/11B (Ducting),CRL-ITR-001 - Supply Air - Future Retail,Second Fix QA,Flexibles installed and supported correctly,,,
a393c927-b768-5b4d-ad0b-9f7115368142,,checkpoint-status,not-started,,,TRUE,TRUE,Aotea Station,L1 Plant,CRL-AOT-MEC-AES-DRG-148501/502- ZONE 11A/11B (Ducting),CRL-ITR-001 - Mechanical Duct,Second Fix QA,Flexibles installed and supported correctly,,,
265695e2-d16e-5c90-945c-37b643bdcfaf,,checkpoint-status,not-applicable,,,TRUE,TRUE,Aotea Station,L1 Plant,CRL-AOT-MEC-AES-DRG-148501/502- ZONE 11A/11B (Ducting),CRL-ITR-001 - Exhaust Air - Future Retail,Second Fix QA,Flexibles installed and supported correctly,,,
28a41430-fd57-51cc-a38a-d3752eb80642,,checkpoint-status,not-started,,,TRUE,TRUE,Aotea Station,L0 Wellesley East,CRL-AOT-MEC-AES-DEG-148001/002/003/004- Zone 11A/11B (Ducting),CRL-ITR-001 - Mechanical Duct,Second Fix QA,Flexibles installed and supported correctly,,,
711f8c10-3676-582d-9bc7-ef4e2c51e010,,checkpoint-status,not-started,,,TRUE,TRUE,Aotea Station,B2 Upper Floor,CRL-AOT-MEC-AES-DRG-148201/202-B2 (Ducting) Zone 11A/11B,CRL-ITR-001 - Mechanical Duct,Second Fix QA,Flexibles installed and supported correctly,,,
29c01a0b-885a-577b-804c-88c4c835561a,,checkpoint-status,not-started,,,TRUE,TRUE,Aotea Station,Roof,Drawing No. 140838 (Ducting) Zone 11A,PA Ducting From AHU,CRL-ITR-001 - Mechanical Duct,Second Fix QA,Flexibles installed and supported correctly,,
