"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3052ee9e-aa4c-4e6b-8ff5-515a7d70fc0a","","not-started","","folder","TRUE","FALSE","STÄRKE - SO 504 QA"
"d8a536e7-2f41-4d18-b487-097506d1c69e","","not-started","e8de74b47c312875c65445ddda3081e0bc02c2d4c93dca3748f0ba173bfd7b1c","checklist","FALSE","FALSE","STÄRKE - SO 504 QA","QA Checklist"
"eb851b6c-0b20-42db-94f5-5658811f784f","","not-started","b39dbca6cfe143833a3d39756bd5977e5e7811cd2d9070e102b20cfbdfaecd8b","checklist","FALSE","FALSE","STÄRKE - SO 504 QA","Package Checklist"
"4ace867a-616c-4ea5-a84d-6cef0d9a6362","","not-started","","folder","TRUE","FALSE","STÄRKE - SO 504 QA","Damage Report (If applicable)"
"f0c8fa7f-b090-455a-97bd-f1fbd93f1a6c","","not-started","Damage Report Checklist","checklist","FALSE","FALSE","STÄRKE - SO 504 QA","Damage Report (If applicable)","Damage Report Checklist"
