"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"59c62a77-5197-4618-958b-5de4f3c51f76","","checklist-flat","not-started","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 56","Speedpanel"
"ed8ee694-5a81-41a4-a263-293efbd9a9bd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Level Basement 01","Zone 58"
"dbec674e-d828-443b-be18-cf6badff4640","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 58","Rigid Board"
"f18d0fb9-61f4-4516-b7f8-e75f36abf120","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Level Basement 01","Zone 59"
"736adfcc-2e7b-4c49-abbf-a7336ad62d3d","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 59","Rigid Board"
"8dc7ee64-6cd7-4515-8db8-11e3970099d1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Level Basement 01","Zone 60"
"0ee03667-ade6-4907-b4ce-5df167ab0177","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 60","Rigid Board"
"e891316c-1e13-4659-8fe8-d49d0aa5c16f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Level Basement 01","Zone 61"
"09400967-b49d-418d-8057-a036200682f0","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 61","Rigid Board"
"5d7ee5ac-a9d6-41f9-9e64-f5701275258d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Level Basement 01","Zone 72"
"bc9c083c-178c-4f82-b848-6fc52479c53b","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 72","Rigid Board"
"21f7a171-0451-4599-9427-47cd6853ebed","","checklist-flat","not-started","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 72","Speedpanel"
"e5063254-7c97-40a4-85ce-66f9161e0990","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Level Basement 01","Zone 73"
"dbfd9a7d-a4f7-415b-b671-9d72d0a8743e","","checklist-flat","work-in-progress","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 73","Rigid Board"
"6df086bf-1fb1-4a8d-bad3-9b4180258348","","checklist-flat","pass","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 73","Speedpanel"
"57466f51-08ba-4de7-b579-6a263ea707ef","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement","Level Basement 01","Zone 74"
"aeaf6a38-105d-4026-92ca-cef3d3406070","","checklist-flat","not-started","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 74","Speedpanel"
"0a129e66-53b3-4223-8ca6-2aeaeb3c5c02","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Level Basement 01","Zone 75"
"12a991a8-7cc7-45de-8cc8-9fa78edce40c","","checklist-flat","not-started","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 75","Rigid Board"
"619788fe-f803-4612-87f5-dfc20ffc6e8c","","checklist-flat","pass","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Level Basement 01","Zone 75","Speedpanel"
"e153c992-09c8-4fd6-8fbf-92485ea372af","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Lower Ground"
"fa93957c-2775-4049-9e14-d5d735f3a787","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement","Lower Ground","Zone 80"
"29b20ec9-5c25-4ee2-adfd-f559ce75298d","","checklist-flat","not-started","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground","Zone 80","Speedpanel"
"68afadff-3041-49c6-a9d9-9f9296984d81","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Lower Ground","Zone 84"
"a2d1a153-4b3c-457f-a6b6-5b4ece870d1b","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground","Zone 84","Rigid Board"
"21cb9d0e-e7a5-4062-ab73-2f45cf35180a","","checklist-flat","not-started","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground","Zone 84","Speedpanel"
"9bac55e3-3660-4805-a884-7b36f21af380","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement","Lower Ground","Zone 85"
"3bd67a2e-aabe-4756-9aff-ce09731e2a9a","","checklist-flat","not-started","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground","Zone 85","Rigid Board"
"eb788805-c3b0-4719-9bee-f96f817ed9eb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Lower Ground","Zone 90"
"e58975cd-2b49-496a-8d60-7250050e7ea2","","checklist-flat","not-started","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground","Zone 90","Rigid Board"
"bece0d96-2288-4965-bb11-342dbc25088c","","checklist-flat","work-in-progress","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground","Zone 90","Speedpanel"
"47380413-9c7c-4304-892f-094163d82c8c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Lower Ground","Zone 93"
"8c1bfc7c-def3-4e81-a9c0-0bbee45f6071","","checklist-flat","work-in-progress","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground","Zone 93","Speedpanel"
"7551542d-4ebc-4352-a1fe-e6174019f6de","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz"
"5524e04f-7438-4d19-a2f2-55e7db11e8ad","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 78"
"bd1e4c6a-a8ab-429e-b8c1-fc46eed49d27","","checklist-flat","not-started","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 78","Rigid Board"
"9db010f4-1815-4da9-b994-54ffe0e2171b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 79"
"df80181c-98a3-4016-adc0-df4c72318f28","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 79","Rigid Board"
"03476225-3317-46e6-8e7b-a9a7aebb546b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 80"
"725dcab8-fb1f-4e28-bea9-4277dab06ac1","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 80","Rigid Board"
"3a6a7ccc-5c28-45e2-ae78-9d017ff793f6","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 81"
"20f1744c-9036-49c6-824a-9a9b43f58b6a","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 81","Rigid Board"
"53b7b30a-84a4-40f6-b689-52a592ab8980","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 82"
"0bb7dd30-3507-4b3d-a0ed-b3aa5ce2c401","","checklist-flat","pass","ITP 01 - Rigid Board","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 82","Rigid Board"
"2510c614-4b7e-4b9c-96b8-c9eee92e2857","","checklist-flat","not-started","ITP 02 - Speedpanel","checklist-flat","FALSE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 82","Speedpanel"
"367dd950-ce08-47e0-b0cf-e375ce1649fe","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Basement","Lower Ground Mezz","Zone 83"
