"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0f40ab5e-90a1-4f24-8c37-888f7b1ad039","","pass","","folder","TRUE","FALSE","Externals "
"5409e46f-d3f3-452e-aee6-ee8f1f6d1402","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS-1.02"
"a1aff44d-58e7-41e6-9305-1814cff09ef2","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS-2.01"
"9db46aa7-d63f-4fd6-b1fb-bb59fdf2a01c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WW-1.01"
"3bc1a42e-24d6-45c5-a7b6-37a4245e4493","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WW-1.02"
"32a57e87-1314-44c0-87b8-ac91bbc8a674","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WW-1.03"
"704583d9-898c-47eb-b68e-77c53b1c1f25","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WW-1.04"
"7095e695-dd64-459f-99d7-7e45e066971e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WC-1.01"
"bdd69df3-a91c-47fb-ad58-7e8efb940aca","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WC-1.02"
"b2c9b647-fdf2-4286-b111-e41cccc273f9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WW-2.01"
"db18582e-5586-445a-8af2-9109e25a2126","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN-1.01"
"b208754f-6e16-4211-93bd-4827ba41362d","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WE-1.01"
"a4bb4133-342f-4aa7-b0f6-767a82614ef0","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WE-1.02"
"3013b7fd-6888-45ca-b401-4a85175b8135","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WS-1.01"
"94b6a1c3-332d-4099-8e95-a3852f393618","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN-1.06"
"647485f5-9c79-43c8-aac2-bb8b882321d9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN-1.05"
"ff832f0f-ad6b-4ec3-b825-861cd49a2f72","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN-1.04"
"0bbd3bdb-bd01-4594-9b24-e8e7f378e6d3","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN-1.03"
"e2f59b3c-7c4f-4aef-827d-b9b936a3d747","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Externals ","WN-1.02"
"6d80b980-b019-4d39-9aa4-648c596c7b30","","pass","","folder","TRUE","FALSE","Interior "
"a1048e8a-30e3-4425-b52f-3d227ed970ac","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-1.15a"
"62368f3e-2c50-4850-93e4-af78e89601f9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-1.15b"
"a1dadaad-16b9-4273-9988-dbbb3c962cd3","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-2.03a"
"5f112801-97f9-4d18-9f12-2f290aa0b9b3","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-2.07a"
"242aa904-3a7b-4a8d-933b-a91a7d585403","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-2.09a"
"dff5aaf3-0e6b-43f5-9b2b-b0661d77d445","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-2.10a"
"158d06c5-6291-4b1b-9e56-be0806a90828","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-2.10b "
"ea702b32-f897-4b83-9cc8-ff927d8536fb","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-2.10c"
"7cfdff50-aecf-4493-bbe0-4c9f764313aa","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-2.12a"
"a71cb1df-56a8-482f-9d7c-d96881af242e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-2.13a"
"58b6d3bc-7ab1-4597-8b28-f42476648bdd","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-2.14a"
"5746cc6a-2c4c-442c-a2df-61c4d29244d0","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","IW-2.14b "
"6d4c7652-193a-4806-b64a-015d55f47364","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- ID.0.07"
"b1475387-0cbf-445d-842c-8d15113912e9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","1D.0.15a"
"7927f0ac-e2ed-4f40-90c1-4206339e32c6","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- 1D.0.09b"
"5750216c-c1ef-4a23-8239-696bb51d03f9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- 1W.0.09b"
"eb564cd3-1598-42a5-bfab-802513a6a946","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- 1D.0.09c hinge door"
"84f3e9d7-6829-4422-b1bb-f18e78453e5b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- ID.0.09a slider"
"59328285-9fc8-4f2e-a9d3-7deee4d4f71e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- 1W.0.09south"
"ade86ab7-0e29-4097-a0f4-7305660025f4","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- 1D.0.09south door"
"cc280398-8f22-4a86-bbf0-d8b90c10d4a5","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- ID.0.010"
"e56b670b-cdf2-4bcf-bf46-4db29da18632","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- 1W.0.010"
"290104d2-7d52-4bc9-b260-c9ce27832d00","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- L1 south"
"e28f4ea2-7297-4278-97e9-3fa6913a0065","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- L1south hinge door"
"6e0f9e1d-11c3-48ab-b8db-8b565836edbb","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- L1south Window"
"e31a4413-cd61-4f21-9b8b-adc62dbf8ebe","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- L1Wwest "
"fc8591ec-e3be-4ed9-8d11-fa6572ed5700","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- L1Weast"
"0a60e4f3-f127-4660-809a-bbd0513a327c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- L1weast door hinge"
"a0173a88-d232-4f93-8630-6999ada89dc0","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- L1east window"
"85656088-a51c-452d-877a-9b241fd4ea7a","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Interior ","- L1Dnorth east door"
