Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Type A - Lot Register,,,,,,
,Scope,,,site qa,type a,
,Rows,,,,,
,,McGregor Road North,dynamic,type a,mcgregor rd - north,site qa
,,McGregor Road South,dynamic,type a,mcgregor rd - south,site qa
,,HKWRR North,dynamic,type a,hkwrr north,site qa
,,HKWRR South,dynamic,type a,site qa,hkwrr south
,Columns,,,,,
,,Lot Map,Lot map,1.1.1 - lot map,1.0 pre-start activities,
,,Surveyor Report Reference,Surveyor report reference,2.0 set out,2.1.1 - surveyor report reference,
,,Signed Hold Points,,authority holdpoint,,
,,Incoming Material Docket,Incoming material docket,4.0.1 - incoming material docket,4.0 placement of type a material (type a1 and a2),
,,Compaction Test Result,Remarks/record - NATA Test Report: Compaction,4.9 - compaction testing,4.0 placement of type a material (type a1 and a2),
,,CBR Test Result,Remarks/record - NATA Test Report: CBR and Swell,4.0 placement of type a material (type a1 and a2),4.1 - initial testing,
,,Proof Roll,Proof roll if applicable - comment reasoning if N/A,4.0 placement of type a material (type a1 and a2),4.8.1 - proof roll if applicable,
,,Lot Status,Lot Status,7.0 work lot close out,lot conformance,
,,Lot Opened On,Lot opened date:,7.0 work lot close out,lot conformance,
,,Work Started,,,,
,,Work Completed,Date Completed:,works complete,7.0 work lot close out,
,,Lot Opened By,Lot opened by:,7.0 work lot close out,lot conformance,
,,Comments,Comments,7.0 work lot close out,lot conformance,
