"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Site QA","dynamic","site qa"
,"Columns"
,,"All Subbie Rough-in Progression",,"all subbie rough-in progression"
,,"All Subbie Fit off & Testing Progression",,"all subbie fit off & testing progression"
,,"As Builts",,"as builts"
,,"Ductwork",,"ductwork"
,,"Grille Fit-Off",,"grille fit-off"
,,"Pipework",,"pipework"
,,"Plantroom / Outdoor Equipment",,"plantroom / outdoor equipment"

