"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4b99e742-db12-454b-a4ca-d15b8d4ca075","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"c0be3877-67de-4ebb-937a-f5c25aa68bf8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building A"
"a2e3eacb-7346-410c-b227-1bcb306ea732","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building A","Ground"
"f466e38b-731c-470f-9d6e-69730bc650b7","","checklist-flat","work-in-progress","Rough In + Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Building A","Ground","Rough In + Fit Off"
"f1f336ff-80b2-4e80-b400-87b82ffacf2d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 1"
"094e5d2e-286a-45e9-b51d-fb9d87adcc3d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 2"
"c874b515-e20f-4108-83aa-453399ce8491","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Level 3"
"f1bb47ea-2a1d-4090-ae3c-417a413e7bb1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B"
"e62c9a67-a6b2-4071-a1bb-e29477e75949","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Ground"
"bf4a4f06-182d-4b5d-8c32-d69ca13cdfad","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 1"
"c271423c-ab10-41c7-9384-f6524501c147","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 2"
"262ae5e0-3d43-4933-b0d8-0ffe5bb5d636","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 3"
"536b9ab2-860d-4641-b89c-ea4b4ba1631c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 4"
"61a5f7fd-fd28-41b2-be96-caeec74bb38c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 5"
"1fe61001-ffae-434c-99dc-103c9319242f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 6"
"b261caf0-351b-489a-be56-b9527fb8b89a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building B","Level 7"
