type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Soffit,,,,,,SOFFIT INSULATION CHECKLIST
checkpoint,Fix to soffits,,,,,,
checkpoint,Application of foil tape,,,,,,
,,,,,,,
checklist-flat,Corridor,,,,,,CORRIDOR CHECKLIST
checkpoint,Door frames,,,,,,
checkpoint,Frame walls,,,,,,
checkpoint,Noggins installed,,,,,,
checkpoint,Top sheet caulked and stopped,,,,,,
checkpoint,Insulation to walls,,,,,,
checkpoint,Hanging party walls,,,,,,
checkpoint,Stop/sand walls,,,,,,
checkpoint,Ceiling grid,,,,,,
checkpoint,Sheet ceilings,,,,,,
checkpoint,Access panels installed,,,,,,
checkpoint,Stop/sand ceiling,,,,,,
,,,,,,,
checklist-flat,Apartment,,,,,,APARTMENT CHECKLIST
checkpoint,Door frames,,,,,,
checkpoint,Frame walls,,,,,,
checkpoint,Noggins installed,,,,,,
checkpoint,Top sheet caulked and stopped,,,,,,
checkpoint,Insulation to walls,,,,,,
checkpoint,Hanging internal walls,,,,,,
checkpoint,Hanging party walls,,,,,,
checkpoint,Stop/sand walls,,,,,,
checkpoint,Ceiling grid,,,,,,
checkpoint,Sheet ceilings,,,,,,
checkpoint,Access panels installed,,,,,,
checkpoint,Stop/sand ceiling,,,,,,
checkpoint,Pod location,,,,,,
,,,,,,,
checklist-flat,External Wall,,,,,,EXTERNAL WALL CHECKLIST
checkpoint,Sarking,,,,,,
checkpoint,Flashing,,,,,,
checkpoint,Tophat,,,,,,
checkpoint,Easylab,,,,,,
checkpoint,Stopped/caulked,,,,,,
,,,,,,,
checklist-flat,Speedpanel,,,,,,SPEEDPANEL CHECKLIST
checkpoint,Install track,,,,,,
checkpoint,Install panel,,,,,,
checkpoint,Caulk panel,,,,,,
checkpoint,Install head protection,,,,,,
