"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"61338683-6fcc-4d61-aefa-ec91961fbdc5","","folder-normal","pass","","step","TRUE","FALSE","Bored Pile Record "
"39404ccb-54ce-4813-8cc8-0ecc1043ceef","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - P03"
"ac04357e-d9d8-4f8c-8758-1392e9e62e02","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - P04"
"aa8a8630-3322-4923-bc3c-d4745be2b4e6","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - P05"
"729be48b-14fe-4f6a-bcee-9e3e732e7d78","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - P06"
"e90ccdc1-31fb-4a82-af8e-f236ec8c2cc9","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - P07"
"8f3a2d0a-c647-4ca5-8a9b-790af49c6194","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - P08"
"01198d74-8ce2-44c8-be4f-31abecbb6311","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - P09"
"72d6dd4e-19fb-42a3-a228-99fb2b83998c","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - P48"
"0e755895-c1d6-4386-9a35-48e54df0c663","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - P46"
"9db616a6-1533-449b-8c7a-bda2947ba9cb","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - 012"
"6e5c55c1-bb59-44a1-8e6b-bf60d9a3013b","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - 017"
"66b68427-1c98-4404-8e43-a8f16c02ee19","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - 023"
"29dc444f-c878-4356-8763-2bc525967ed2","","checklist-sectioned","pass","H. KA-FRM-147 - Bored Pile Record","checklist","FALSE","FALSE","Bored Pile Record ","Bored Pile Record - 029"
"8ce8fe4b-58c6-481f-b2e3-82c7586d6a99","","folder-normal","fail","","step","TRUE","FALSE","CFA Pile Record "
"4f66ddc1-a431-4427-b603-011797337c7f","","checklist-sectioned","pass","H. KA-FRM-076 - CFA, CSP and Displacement Pile Record","checklist","FALSE","FALSE","CFA Pile Record ","CFA Pile Record - 278"
"aa3f017f-0b8b-4333-859e-24a0d67f7443","","checklist-sectioned","pass","H. KA-FRM-076 - CFA, CSP and Displacement Pile Record","checklist","FALSE","FALSE","CFA Pile Record ","CFA Pile Record - 274"
"d157bb9f-3fbd-46f6-8e9f-db097a4232b8","","checklist-sectioned","pass","H. KA-FRM-076 - CFA, CSP and Displacement Pile Record","checklist","FALSE","FALSE","CFA Pile Record ","CFA Pile Record - 270"
"ee561a99-83d7-4477-bea7-f328038c5ce4","","checklist-sectioned","pass","H. KA-FRM-076 - CFA, CSP and Displacement Pile Record","checklist","FALSE","FALSE","CFA Pile Record ","CFA Pile Record - 261"
"59de0040-5323-42aa-884f-b0bbdaefa5de","","checklist-sectioned","pass","H. KA-FRM-076 - CFA, CSP and Displacement Pile Record","checklist","FALSE","FALSE","CFA Pile Record ","CFA Pile Record - 256"
"fbba6aa1-1631-4822-bb02-f36da2ea2665","","checklist-sectioned","fail","H. KA-FRM-076 - CFA, CSP and Displacement Pile Record","checklist","FALSE","FALSE","CFA Pile Record ","CFA Pile Record - 246"
"990362a4-d32c-43c3-bdce-39a4f01b0655","","checklist-sectioned","fail","H. KA-FRM-076 - CFA, CSP and Displacement Pile Record","checklist","FALSE","FALSE","CFA Pile Record ","CFA Pile Record - 241"
"113e73e0-da77-4f70-979c-0cc086aae0c0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Jet Grout Report "
