Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,
a8b8f596-d862-4c05-9df8-c8c71f3d99c9,,checklist-flat,work-in-progress,Project Details,checklist-flat,FALSE,FALSE,Project Details,,,,
e702c6b6-35cf-48b8-b61d-3307227c77a7,,folder-normal,no-status-not-started,,step,TRUE,FALSE,Factory QA,,,,
89d06b5a-4365-4239-9369-f5085e9d3b25,,folder-normal,fail,,step,TRUE,FALSE,Site QA,,,,
47efa84c-a4fc-4aa1-a172-ae421110d6e7,,folder-normal,fail,,step,TRUE,FALSE,Site QA,Ground Floor,,,
3b0a2ff6-4661-4c32-9e0e-85659648c864,,folder-normal,pass,,step,TRUE,FALSE,Site QA,Ground Floor,North Elevation,,
8f1558b8-7223-410a-87d2-ece9612b84cb,,checklist-flat,pass,SYS - Structural Opening Handover Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Ground Floor,North Elevation,Structural Opening Handover Checklist,
b8f730a2-5360-4086-bfa6-4b8b636b0a4d,,checklist-flat,pass,"SYS - SILL FLASHING, SILL TRAY, & SEISMIC HEAD (old version)",checklist-flat,FALSE,FALSE,Site QA,Ground Floor,North Elevation,"SILL FLASHING, SILL TRAY, & SEISMIC HEAD",
b8398df8-18d1-40ef-8a5c-f0918ba0376b,,checklist-flat,pass,SYS - FIXING OF PANEL (old version),checklist-flat,FALSE,FALSE,Site QA,Ground Floor,North Elevation,FIXING OF PANEL,
f92dbc31-e25e-4076-8fa2-05717cf59969,,checklist-flat,pass,SYS - Fixing of CW Panel (old version),checklist-flat,FALSE,FALSE,Site QA,Ground Floor,North Elevation,Fixing of CW Panel,
c3c33955-cc4a-4657-8860-24c56c0470ab,,folder-normal,fail,,step,TRUE,FALSE,Site QA,Ground Floor,West Elevation,,
0f7f8fb4-cc0c-4eb6-901c-83f0fa148b84,,checklist-flat,pass,SYS - Structural Opening Handover Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Ground Floor,West Elevation,Structural Opening Handover Checklist,
0cd2e0c5-48f1-40a2-ab4e-8a179f719752,,checklist-flat,fail,"SYS - SILL FLASHING, SILL TRAY, & SEISMIC HEAD (old version)",checklist-flat,FALSE,FALSE,Site QA,Ground Floor,West Elevation,"SILL FLASHING, SILL TRAY, & SEISMIC HEAD",
5ace1476-143c-4a5c-9d40-07151255555e,,checklist-flat,pass,SYS - FIXING OF PANEL (old version),checklist-flat,FALSE,FALSE,Site QA,Ground Floor,West Elevation,FIXING OF PANEL,
fe55563d-0570-4a45-9233-add34229712f,,folder-normal,work-in-progress,,step,TRUE,FALSE,Site QA,Ground Floor,South Elevation,,
b11b9f64-2954-463c-82b2-bdd21c37e04e,,checklist-flat,not-started,SYS - Structural Opening Handover Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Ground Floor,South Elevation,Structural Opening Handover Checklist,
41ed17a4-a6b6-4eef-b5f0-be962c2329e2,,checklist-flat,not-started,"SYS - SILL FLASHING, SILL TRAY, & SEISMIC HEAD (old version)",checklist-flat,FALSE,FALSE,Site QA,Ground Floor,South Elevation,"SILL FLASHING, SILL TRAY, & SEISMIC HEAD",
348405e4-2dc9-44bc-9dbd-35767d3850c5,,checklist-flat,pass,SYS - FIXING OF PANEL (old version),checklist-flat,FALSE,FALSE,Site QA,Ground Floor,South Elevation,FIXING OF PANEL,
aa7952bd-3325-45b4-84e3-663f6c2bba83,,folder-normal,fail,,step,TRUE,FALSE,Site QA,Ground Floor,East Elevation,,
af56e127-1993-43ca-8d2b-ca1cd185a123,,checklist-flat,work-in-progress,"SYS - SILL FLASHING, SILL TRAY, & SEISMIC HEAD (old version)",checklist-flat,FALSE,FALSE,Site QA,Ground Floor,East Elevation,"SILL FLASHING, SILL TRAY, & SEISMIC HEAD",
ca5cd406-57a1-4812-9025-620a477d2d84,,checklist-flat,pass,SYS - Structural Opening Handover Checklist (old version),checklist-flat,FALSE,FALSE,Site QA,Ground Floor,East Elevation,Structural Opening Handover Checklist,
ee3c39ba-cca5-4ed7-a72f-99390425c706,,checklist-flat,fail,SYS - Fixing of CW Panel (old version),checklist-flat,FALSE,FALSE,Site QA,Ground Floor,East Elevation,Fixing of CW Panel,
86533520-6be6-4cea-a9e8-b9f1ebd2d5ba,,folder-normal,fail,,step,TRUE,FALSE,Site QA,Level 1,,,
2c49eb36-79bd-4eb6-abf5-53fe1d4c1f34,,folder-normal,work-in-progress,,step,TRUE,FALSE,Site QA,Level 1,North Elevation,,
51c96b8f-1d83-4bf1-8d39-d90cb92c789a,,folder-normal,pass,,step,TRUE,FALSE,Site QA,Level 1,North Elevation,Curtain Wall,
7cfddd82-e45e-41a6-a505-1456aa0015f1,,checklist-flat,pass,SYS - FIXING OF PANEL (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Curtain Wall,FIXING OF PANEL
8c61bf28-df63-4e8e-981c-7dd41a2731e8,,checklist-flat,pass,"SYS - Brackets, Bolts & Nuts (old version)",checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Curtain Wall,"Brackets, Bolts & Nuts"
d9e6a950-ab13-4b23-91d3-c8379798ac1b,,checklist-flat,pass,SYS - Gutter Splices & Drainage (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Curtain Wall,Gutter Splices & Drainage
f9de5e98-b8fe-4548-9e14-4d3aa2b81055,,checklist-flat,pass,SYS - Rockwool & Fireseal (old version),checklist-flat,FALSE,FALSE,Site QA,Level 1,North Elevation,Curtain Wall,Rockwool & Fireseal
