"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Bathroom Checklist"
,"Scope",,
,"Rows"
,,"Block A","grouping","block a"
,,"Unit 1",,"unit types","unit 1","site qa","block a"
,,"Unit 2",,"unit 2","unit types","site qa","block a"
,,"Unit 2.1",,"unit types","site qa","unit 2.1","block a"
,,"Unit 3",,"unit types","unit 3","site qa","block a"
,,"Unit 4",,"unit types","site qa","unit 4","block a"
,,"Unit 5",,"unit types","site qa","block a","unit 5"
,,"Unit 6",,"unit types","site qa","unit 6","block a"
,,"Unit 7",,"unit types","site qa","unit 7","block a"
,,"Unit 8",,"unit types","unit 8","site qa","block a"
,,"Unit 9",,"unit types","unit 9","site qa","block a"
,,"Unit 10",,"unit 10","unit types","site qa","block a"
,,"Unit 11",,"unit types","site qa","block a","unit 11"
,,"Unit 12",,"unit types","site qa","unit 12","block a"
,,"Block B","grouping","block b"
,,"Unit 13",,"unit types","site qa","unit 13","block b"
,,"Unit 14",,"unit types","site qa","unit 14","block b"
,,"Unit 14.1",,"unit 14.1","unit types","site qa","block b"
,,"Unit 15",,"unit types","unit 15","site qa","block b"
,,"Unit 16",,"unit types","unit 16","site qa","block b"
,,"Unit 17",,"unit types","unit 17","site qa","block b"
,,"Unit 18",,"unit 18","unit types","site qa","block b"
,,"Unit 19",,"unit types","site qa","unit 19","block b"
,,"Block C","grouping","block c"
,,"Unit 20",,"block c","unit types","unit 20","site qa"
,,"Unit 20.1",,"block c","unit types","site qa","unit 20.1"
,,"Unit 21",,"unit 21","block c","unit types","site qa"
,,"Unit 21.1",,"block c","unit types","site qa","unit 21.1"
,,"Unit 22",,"block c","unit types","site qa","unit 22"
,,"Unit 23",,"block c","unit types","site qa","unit 23"
,,"Unit 24",,"block c","unit types","site qa","unit 24"
,,"Unit 25",,"block c","unit types","site qa","unit 25"
,,"Unit 26",,"block c","unit types","unit 26","site qa"
,,"Unit 27",,"block c","unit types","unit 27","site qa"
,,"Unit 28",,"block c","unit types","unit 28","site qa"
,,"Unit 29",,"unit 29","block c","unit types","site qa"
,,"Unit 30",,"block c","unit types","unit 30","site qa"
,,"Unit 31",,"block c","unit types","unit 31","site qa"
,,"Block D","grouping","block d"
,,"Unit 32",,"unit 32","unit types","block d","site qa"
,,"Unit 33",,"unit types","block d","site qa","unit 33"
,,"Unit 34",,"unit types","block d","site qa","unit 34"
,,"Unit 35",,"unit types","block d","site qa","unit 35"
,,"Unit 35.1",,"unit types","block d","unit 35.1","site qa"
,,"Unit 36",,"unit types","block d","site qa","unit 36"
,,"Unit 36.1",,"unit types","unit 36.1","block d","site qa"
,,"Unit 37",,"unit types","block d","unit 37","site qa"
,,"Unit 37.1",,"unit 37.1","unit types","block d","site qa"
,,"Unit 38",,"unit types","block d","unit 38","site qa"
,,"Unit 38.1",,"unit types","block d","site qa","unit 38.1"
,,"Unit 39",,"unit types","unit 39","block d","site qa"
,,"Unit 39.1",,"unit types","block d","site qa","unit 39.1"
,,"Unit 40",,"unit types","block d","unit 40","site qa"
,,"Block E","grouping","block e"
,,"Unit 41",,"unit types","unit 41","block e","site qa"
,,"Unit 42",,"unit types","unit 42","block e","site qa"
,,"Unit 42.1",,"unit types","block e","site qa","unit 42.1"
,,"Unit 43",,"unit 43","unit types","block e","site qa"
,,"Unit 44",,"unit types","block e","site qa","unit 44"
,,"Unit 45",,"unit types","block e","site qa","unit 45"
,,"Unit 46",,"unit types","block e","site qa","unit 46"
,,"Unit 47",,"unit types","block e","site qa","unit 47"
,,"Unit 47.1",,"unit types","unit 47.1","block e","site qa"
,,"Unit 48",,"unit types","block e","unit 48","site qa"
,,"Unit 48.1",,"unit 48.1","unit types","block e","site qa"
,,"Unit 49",,"unit types","unit 49","block e","site qa"
,,"Unit 50",,"unit types","block e","site qa","unit 50"
,,"Unit 51",,"unit types","block e","unit 51","site qa"
,"Columns"
,,"Substrate inspection",,"substrate inspection"
,,"Showerbase screed",,"showerbase screed"
,,"Waterproofing",,"waterproofing"
,,"Tiling",,"tiling"
,,"Grout and silicone",,"grout and silicone"
,,"Completion",,"completion"

