"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"86bfaf1c-d518-43d1-a8de-8c6f0f1b0136","","folder-normal","","","step","TRUE","FALSE","Emergency Lighting Test Results"
"19e1816c-3eb7-4423-b134-7e54b4c72f6a","","checklist-flat","","Emergency Lighting Testing Evidence","checklist-flat","FALSE","FALSE","Emergency Lighting Test Results","Emergency Lighting Testing Evidence"
"16354c3a-9369-405e-bc3b-df1667ae0b20","","folder-normal","","","step","TRUE","FALSE","Temp DB's"
"28071499-c89f-44e7-a660-7f084cffd17d","","folder-normal","","","step","TRUE","FALSE","Temp DB's","Temp DB Install Checklist"
"ec5e3b12-e245-4e8d-9bc0-9609f80a0e43","","checklist-flat","","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-1"
"58f069b6-2d47-4cc7-a01e-f13c59b0a4ac","","checklist-flat","","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-2"
"71e0e323-62c8-4ace-998b-b996baef2329","","checklist-flat","","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-3"
"58aed8b1-f642-4a8e-b8d3-79bba9b93a4f","","checklist-flat","","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-4"
"9301cf4a-6c51-4ccd-a4bc-7ee61f9f013d","","checklist-flat","","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-5"
"f3dc635b-3dc2-41cd-8c34-e2053e7b7532","","checklist-flat","","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-6"
"67481a60-183a-4d7f-8fac-9fb5b04f66e3","","folder-normal","","","step","TRUE","FALSE","Temp DB's","Temp DB Monthly Testing"
"02759aaf-cba7-4965-858e-2f106e72de87","","folder-normal","","","step","TRUE","FALSE","Site Variations"
"989cfcfa-9aa6-4e01-a9ce-33aa1a0560f0","","folder-normal","","","step","TRUE","FALSE","Test & Tag"
"9dc971b3-6ea8-4c3e-9308-eedcef541c6c","","folder-normal","","","step","TRUE","FALSE","Toolbox Talks"
"2d81514b-5f16-401a-85ac-22174b8ee595","","folder-normal","","","step","TRUE","FALSE","Toolbox Talks","Weekly Toolbox Talks"
"5290e519-3946-4913-b73e-7bdba9ab77e9","","folder-normal","","","step","TRUE","FALSE","Toolbox Talks","Daily Pre-start Toolbox Talks"
"4750f8de-38af-4cb8-a4ef-d0ffabf3be39","","folder-normal","","","step","TRUE","FALSE","Site QA"
