"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"QA Progress"
,"Scope",,
,"Rows"
,,"Stage 1","dynamic","stage 1","site qa"
,"Columns"
,,"Fixings",,"fixings"
,,"Proclima taped",,"proclima taped"
,,"Reveals fitted",,"reveals fitted"
,,"Flashings fitted",,"flashings fitted"
,,"Sash functioning correctly / needs adjustment",,"sash functioning correctly / needs adjustment"
,,"Head flashing end cap fitted",,"head flashing end cap fitted"
,,"Cavity end caps fitted to head flashing",,"cavity end caps fitted to head flashing"
,,"Glazing seals uniform",,"glazing seals uniform"
,,"Checked for damages",,"checked for damages"
,,"Trade Cleaned",,"trade cleaned"

