Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
QA Progress,,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,Floor Plans,grouping,Floor Plans,,,
,,Stage 1 - PR-30272 - Block 1,,Site QA,Stage 1 - PR-30272,Block 1,Floor Plans
,,Stage 1 - PR-30272 - Block 2,,Site QA,Stage 1 - PR-30272,Block 2,Floor Plans
,,Stage 1 - PR-30272 - Block 3,,Site QA,Stage 1 - PR-30272,Block 3,Floor Plans
,,Stage 1 - PR-30272 - Block 4,,Site QA,Stage 1 - PR-30272,Block 4,Floor Plans
,,Stage 1 - PR-30272 - Block 5,,Site QA,Stage 1 - PR-30272,Block 5,Floor Plans
,,Stage 1 - PR-30272 - Block 6,,Site QA,Stage 1 - PR-30272,Block 6,Floor Plans
,,Stage 1 - PR-30272 - Block 7,,Site QA,Stage 1 - PR-30272,Block 7,Floor Plans
,,Stage 2 - PR-20023 - Block 8,,Site QA,Stage 2 - PR-20023,Block 8,Floor Plans
,,Stage 2 - PR-20023 - Block 9,,Site QA,Stage 2 - PR-20023,Block 9,Floor Plans
,,Stage 2 - PR-20023 - Block 10,,Site QA,Stage 2 - PR-20023,Block 10,Floor Plans
,,Stage 2 - PR-20023 - Block 11,,Site QA,Stage 2 - PR-20023,Block 11,Floor Plans
,,Stage 2 - PR-20023 - Block 12,,Site QA,Stage 2 - PR-20023,Block 12,Floor Plans
,,Stage 1 - PR-30272 - Block 1 - Unit 1,dynamic,Site QA,Stage 1 - PR-30272,Block 1,Unit 1
,,Stage 1 - PR-30272 - Block 1 - Unit 2,dynamic,Site QA,Stage 1 - PR-30272,Block 1,Unit 2
,,Stage 1 - PR-30272 - Block 1 - Unit 3,dynamic,Site QA,Stage 1 - PR-30272,Block 1,Unit 3
,,Stage 1 - PR-30272 - Block 1 - Unit 4,dynamic,Site QA,Stage 1 - PR-30272,Block 1,Unit 4
,,Stage 1 - PR-30272 - Block 1 - Unit 5,dynamic,Site QA,Stage 1 - PR-30272,Block 1,Unit 5
,,Stage 1 - PR-30272 - Block 2 - Unit 06,dynamic,Site QA,Stage 1 - PR-30272,Block 2,Unit 06
,,Stage 1 - PR-30272 - Block 2 - Unit 07,dynamic,Site QA,Stage 1 - PR-30272,Block 2,Unit 07
,,Stage 1 - PR-30272 - Block 2 - Unit 08,dynamic,Site QA,Stage 1 - PR-30272,Block 2,Unit 08
,,Stage 1 - PR-30272 - Block 2 - Unit 09,dynamic,Site QA,Stage 1 - PR-30272,Block 2,Unit 09
,,Stage 1 - PR-30272 - Block 2 - Unit 10,dynamic,Site QA,Stage 1 - PR-30272,Block 2,Unit 10
,,Stage 1 - PR-30272 - Block 2 - Unit 11,dynamic,Site QA,Stage 1 - PR-30272,Block 2,Unit 11
,,Stage 1 - PR-30272 - Block 2 - Unit 12,dynamic,Site QA,Stage 1 - PR-30272,Block 2,Unit 12
,,Stage 1 - PR-30272 - Block 2 - Unit 13,dynamic,Site QA,Stage 1 - PR-30272,Block 2,Unit 13
,,Stage 1 - PR-30272 - Block 3 - Unit 14,dynamic,Site QA,Stage 1 - PR-30272,Block 3,Unit 14
,,Stage 1 - PR-30272 - Block 3 - Unit 15,dynamic,Site QA,Stage 1 - PR-30272,Block 3,Unit 15
,,Stage 1 - PR-30272 - Block 3 - Unit 16,dynamic,Site QA,Stage 1 - PR-30272,Block 3,Unit 16
,,Stage 1 - PR-30272 - Block 3 - Unit 17,dynamic,Site QA,Stage 1 - PR-30272,Block 3,Unit 17
,,Stage 1 - PR-30272 - Block 3 - Unit 18,dynamic,Site QA,Stage 1 - PR-30272,Block 3,Unit 18
,,Stage 1 - PR-30272 - Block 3 - Unit 19,dynamic,Site QA,Stage 1 - PR-30272,Block 3,Unit 19
,,Stage 1 - PR-30272 - Block 3 - Unit 20,dynamic,Site QA,Stage 1 - PR-30272,Block 3,Unit 20
,,Stage 1 - PR-30272 - Block 3 - Unit 21,dynamic,Site QA,Stage 1 - PR-30272,Block 3,Unit 21
,,Stage 1 - PR-30272 - Block 4 - Unit 22,dynamic,Site QA,Stage 1 - PR-30272,Block 4,Unit 22
