type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,DB #,itp,,,,,ITC-EL-E003-C-R - MAIN SWITCHBOARDS,
section,ITC,,,,,,,
checkpoint,Voltage Checks,,,,,,,
textbox,R-W,,,,,,,
textbox,R-B,,,,,,,
textbox,W-B,,,,,,,
textbox,R-N,,,,,,,
textbox,W-N,,,,,,,
textbox,B-N,,,,,,,
textbox,R-E,,,,,,,
textbox,W-E,,,,,,,
textbox,B-E,,,,,,,
checkpoint,PHASE ROTATION,,,,,,,
textbox,Board Nm.,,,,,,,
textbox,ROTATION:,,,,,,,
checkpoint,Multimeter reading (V=Volts & A=Amps),,,,,,,
textbox,Red Phase,,,,,,,
textbox,White Phase,,,,,,,
textbox,Blue Phase,,,,,,,
checkpoint,DB Meter reading (V=Volts & A=Amps),,,,,,,
textbox,Red Phase,,,,,,,
textbox,White Phase,,,,,,,
textbox,Blue Phase,,,,,,,
