"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"122c9329-d415-4620-b9d7-75864c7e5b80","","work-in-progress","","folder","TRUE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits"
"732e0189-f5c8-4c86-b8f2-09d1c2d4fc41","","not-started","","folder","TRUE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls"
"e8e899a7-a19f-4029-9957-5a10bd471afd","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","B2 - Core Walls"
"d9345e0a-9cba-43bf-aaea-8a9d83ed22af","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","B1 - Core Walls"
"18179961-2ebb-4ea1-9e01-cb4fc19fe1f5","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","B1M - Core Walls"
"2bf0365c-309b-432c-9d0c-5f7da8285708","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","LOWER GROUND - Core Walls"
"495ff9fb-30bb-494c-80dd-a389c3e13934","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","UPPER GROUND - Core Walls"
"8db9912b-d438-4090-9e14-648ac6519763","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","MEZZANINE - Core Walls"
"704315e7-2859-4656-a57e-2ac19378474b","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","OSD - Core Walls"
"4c04f3dd-134c-4e57-b667-d2941026e412","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","CORE PLANT LEVEL 1 - Core Walls"
"6aed798f-4d2d-4604-b99a-274405e2e566","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","CORE PLANT LEVEL 2 - Core Walls"
"61ae339f-c315-4e56-89f9-ef3f52905adc","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T01 - Core Walls"
"634022fc-d650-4a3e-b1e5-74738924d12d","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T02 - Core Walls"
"83a51193-9d9f-4dc2-95d2-d69d40cf45ed","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T03 - Core Walls"
"ce647f9c-bc9e-477c-b40b-914341ffa633","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T04 - Core Walls"
"c767c09e-17a7-47dc-ab22-13ccba04f743","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T05 - Core Walls"
"a5067754-750b-4bdd-8ba8-6300bd6bacdf","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T06 - Core Walls"
"24de0b37-bb8b-4086-90ec-3b63efe0bb77","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T07 - Core Walls"
"0193bd96-5b17-4762-8960-c1f0a87d8e6a","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T08 - Core Walls"
"952d1bc2-6fda-46fd-bf86-41425f038ebd","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T09 - Core Walls"
"617a956b-c802-4507-bc3a-57735cba1394","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T10 - Core Walls"
"27b61f76-4b2d-46f4-8951-83d66419a47c","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T11 - Core Walls"
"6aaedc26-14b5-4514-99bd-d7b79edc1eb7","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T12 - Core Walls"
"dbe3c10e-7541-4e5d-b08b-8a079d2186ce","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T13 - Core Walls"
"63a3d6a0-ef48-4f29-9091-e535c037f601","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T14 - Core Walls"
"9278edf8-b56f-4d46-afd3-e790c67a4760","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T15 - Core Walls"
"69c2d47d-1d81-4916-a7f8-fb0a0a0b07ba","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T16 - Core Walls"
"2bb83f4e-6f8c-45c7-b164-6c66dd72e769","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T17 - Core Walls"
"805ab4b2-635c-4975-a207-8719e5617f23","","not-started","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","checklist","FALSE","FALSE","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Conduits","SMCSWSPS-HEY-OSN-ED-ITP-000005 - Core Walls","T18 - Core Walls"
