type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Door Installation ITP,,,,,,Door Installation ITP
checkpoint,"Doors have good, consistent perimeter and no binding",,,,,,
checkpoint,"For hollow core doors, hinge and lock sides are correct. For fire doors, the top hinge (T.H) side is correct",,,,,,
checkpoint,Door free of scratches and damages,,,,,,
,,,,,,,
checklist-flat,Door Hardware Installation ITP,,,,,,Door Hardware Installation ITP
checkpoint,Door latching correctly,,,,,,
checkpoint,Locking mechanism working,,,,,,
checkpoint,Closer working at an optimum level of speed & force,,,,,,
checkpoint,Seals are not impeding the closure/opening of the door while still maintaining a tight seal,,,,,,
,,,,,,,
checklist-flat,Frames Installation ITP,,,,,,Frames Installation ITP
checkpoint,All door frames are plumb,,,,,,
checkpoint,All door frames are Level,,,,,,
checkpoint,All door frames are wine,,,,,,
,,,,,,,
checklist-flat,Sundries Installation ITP,,,,,,Sundries Installation ITP
checkpoint,All sundries are at correct height,,,,,,
checkpoint,All sundries are level,,,,,,
checkpoint,All sundries are fastened correctly,,,,,,
checkpoint,All sundries are free of damage,,,,,,
