type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Area Completion Checklist,,,,,,Area Completion Checklist
checkpoint,"All works completed, reviewed and approved",,,,,,
holdpoint,Request Signoff,,,,,,
