"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1e7cacbb-2480-4706-b3ba-90bf61608dae","","not-started","","folder","TRUE","FALSE","Inspections"
"241d5ae4-ece7-42f8-a51d-8bfbdfe84ff9","","not-started","Visual Quality Inspection","checklist","FALSE","FALSE","Inspections","Visual Quality Inspection"
"a6c10972-a5b6-41c3-b185-e52653cc8ca4","","not-started","Elements","checklist","FALSE","FALSE","Inspections","Cage/Element Checklist"
"ed6db298-5b60-4a32-8d95-b6dfdb0b45c9","","not-started","","folder","TRUE","FALSE","Project Breakdown"
"c5fa6733-1dda-4e38-85a7-2463342b7128","","not-started","","folder","TRUE","FALSE","Project Breakdown","29/4/25"
"758c85e1-7c3b-4796-87a5-ec97b054a991","","not-started","","folder","TRUE","FALSE","Project Breakdown","29/4/25","Elements"
"f60c55c0-edd7-423f-ba07-a459be91796c","","not-started","Elements","checklist","FALSE","FALSE","Project Breakdown","29/4/25","Elements","491 - 14/16 SPAN"
"a86f9935-0569-4247-9aba-65d33818fd85","","not-started","Elements","checklist","FALSE","FALSE","Project Breakdown","29/4/25","Elements","489 - 11/16 SPAN"
"cc72f64a-d26e-4171-893b-5d4082567cac","","not-started","Elements","checklist","FALSE","FALSE","Project Breakdown","29/4/25","Elements","493 - 125/16 P/COR"
"76d10af1-65f9-4539-b615-a913e1d8e39c","","not-started","Elements","checklist","FALSE","FALSE","Project Breakdown","29/4/25","Elements","484 - 14/16 P/COR"
"9faae32a-e7b6-4410-96c3-59814e377c30","","not-started","","folder","TRUE","FALSE","Project Breakdown","29/4/25","Visual Quality Inspection"
"30e6d930-d0c3-49d5-bf7a-55f395f46148","","not-started","Visual Quality Inspection","checklist","FALSE","FALSE","Project Breakdown","29/4/25","Visual Quality Inspection","Type/Size/Number - Evo - 14/16 - 96"
"e05222a8-5c81-43e2-a751-3cc20f883edd","","not-started","","folder","TRUE","FALSE","30/04/2025"
"0212e877-4cfb-4fdf-8054-9545cef331a6","","not-started","","folder","TRUE","FALSE","30/04/2025","Element"
"63978990-d847-462e-b072-6c6b2f0eb043","","not-started","Elements","checklist","FALSE","FALSE","30/04/2025","Element","384 - 16/11 DRWG"
"9e343397-59ff-4c86-9ee0-ae9b2d289b5b","","not-started","","folder","TRUE","FALSE","30/04/2025","Visual Quality Inspection"
"8f4ce85d-585d-4a3f-a0c0-7bf415db5c70","","not-started","Visual Quality Inspection","checklist","FALSE","FALSE","30/04/2025","Visual Quality Inspection","Type/Size/Number - 330c/16-11/364"
"47e4da3b-2236-4fd4-9c33-b5acfa9360d9","","no-status-not-started","","folder","TRUE","FALSE","01/05/2025"
"da447a34-9a4e-426e-9e83-25036779a1c7","","no-status-not-started","","folder","TRUE","FALSE","01/05/2025","Element"
