type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,DB 1,,,,,,,
section,Details,,,,,,,
checkpoint,DB installed,,,,,,,
checkpoint,CB's installed,,,,,,,
checkpoint,Mains roughed in,,,,,,,
checkpoint,Lighting feeds roughed in,,,,,,,
checkpoint,Power feeds roughed in,,,,,,,
checkpoint,Lighting control feeds roughed in (CBUS & DALI),,,,,,,
checkpoint,Mains fit off,,,,,,,
checkpoint,Lighting fit off,,,,,,,
checkpoint,Power fit off,,,,,,,
checkpoint,Lighting control fit off (CBUS & DALI),,,,,,,
checkpoint,Schedule completed (attached to door),,,,,,,
checkpoint,DB cleaned,,,,,,,
checkpoint,Glands tight,,,,,,,
checkpoint,Escutchion secured,,,,,,,
checkpoint,DB complete,,,,,,,
,,,,,,,,
checklist,DB 2,,,,,,,
section,Details,,,,,,,
checkpoint,DB installed,,,,,,,
checkpoint,CB's installed,,,,,,,
checkpoint,Mains roughed in,,,,,,,
checkpoint,Power feeds roughed in,,,,,,,
checkpoint,Mains fit off,,,,,,,
checkpoint,Power fit off,,,,,,,
checkpoint,Schedule completed,,,,,,,
checkpoint,DB cleaned,,,,,,,
checkpoint,Glands tight,,,,,,,
checkpoint,Escutchion secured,,,,,,,
checkpoint,DB complete,,,,,,,
,,,,,,,,
checklist,DB 3,,,,,,,
section,Details,,,,,,,
checkpoint,DB installed,,,,,,,
checkpoint,CB's installed,,,,,,,
checkpoint,Mains roughed in,,,,,,,
checkpoint,Power feeds roughed in,,,,,,,
checkpoint,Mains fit off,,,,,,,
checkpoint,Power fit off,,,,,,,
checkpoint,Schedule completed,,,,,,,
checkpoint,DB cleaned,,,,,,,
checkpoint,Glands tight,,,,,,,
checkpoint,Escutchion secured,,,,,,,
checkpoint,DB complete,,,,,,,
,,,,,,,,
checklist,Rough In & Fit Off 2,,,,,,,
section,Details,,,,,,,
checkpoint,Lighting roughed in,,,,,,,
checkpoint,Power roughed in,,,,,,,
checkpoint,Lighting control roughed in (DALI),,,,,,,
checkpoint,Light feed installed,,,,,,,
checkpoint,Power feeds installed,,,,,,,
checkpoint,Lighting fit off,,,,,,,
checkpoint,Power fit off,,,,,,,
checkpoint,Room complete,,,,,,,
,,,,,,,,
checklist,Cable Tray,,,,,,,
section,Details,,,,,,,
checkpoint,Cable Tray Completed,,,,,,,
,,,,,,,,
checklist,Submains,,,,,,,
section,Details,,,,,,,
checkpoint,Mains roughed in,,,,,,,
checkpoint,Mains fit off,,,,,,,
checkpoint,DB cleaned,,,,,,,
checkpoint,Glands tight,,,,,,,
checkpoint,Escutchion secured,,,,,,,
checkpoint,CES recived ,,,,,,,
checkpoint,DB complete,,,,,,,
,,,,,,,,
checklist,Trench,,,,,,,
section,Details,,,,,,,
checkpoint,Depth Confirmed,,,,,,,
checkpoint,Conduit bedding as required in the specification,,,,,,,
checkpoint,Joins glued and secured ,,,,,,,
checkpoint,Integrity of conduit / damage,,,,,,,
checkpoint,Backfill material in line with the specification,,,,,,,
checkpoint,Marker tape installed as required in AS/NZS3000,,,,,,,
checkpoint,Compaction to required level,,,,,,,
checkpoint,Unused conduits capped / taped up,,,,,,,
checkpoint,Pits installed to drawings,,,,,,,
checkpoint,Light pole footing installed to drawings,,,,,,,
checkpoint,Draw wire installed,,,,,,,
checkpoint,Conduit type and size (mm),,,,,,,
checkpoint,Run length (m),,,,,,,
checkpoint,Runs marked on drawings (Asbuilt),,,,,,,
