"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e804521d-23c4-46d8-a21a-83864fe06b8c","","pass","","folder","TRUE","FALSE","Site QA"
"f83b673e-5eed-41b8-aeeb-5a0691352754","","pass","","folder","TRUE","FALSE","Site QA","719 - 729 Riddell Rd, Job # 104154"
"9d5c4c10-658b-4565-b8f5-6c748c24e462","","pass","Capping Beam","checklist","FALSE","FALSE","Site QA","719 - 729 Riddell Rd, Job # 104154","Capping Beam P31-P42"
"6c45d117-603b-4b12-82f7-478b5c554e58","","no-status-not-started","","folder","TRUE","FALSE","Site QA","71-73 Sylvan Ave, Job # 106854"
