"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","work-in-progress","","folder","FALSE","FALSE","Variations"
"a06dc274-e9a1-4736-9fcd-dfe86bb8c248","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240515"
"6e1b9109-20d5-4081-8269-85b0282fc910","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240516"
"42ce54e0-5641-4af4-9336-7375f56787dc","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240520"
"c54688cf-4734-4afb-bc06-d81dd5656055","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240521"
"a44d7186-0e29-48f2-b912-0997ecfb08d7","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240523"
"59f4c2f1-dcfd-4074-81a2-cfd4b28532ee","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP works 20240527"
"e6f04e05-9c61-407a-9560-a5827e63fd7e","","not-started","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","June 2024"
"538eecf2-bc25-4f60-a721-bd1dae2bff5a","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240605"
"5067e917-4ec6-43ba-b709-2389cb39189a","","pass","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","ESCP Works 20240606"
"f323df36-077e-4bf6-b366-4c8cbd908d51","","no-status-not-started","","folder","TRUE","FALSE","Steve Irwin Way Stage 2"
