"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1deca372-8060-464a-a4d4-9bd467d7dc96","","work-in-progress","","folder","TRUE","FALSE","Block 1"
"dfbdb292-c02d-44aa-b40a-86a566a2a195","","work-in-progress","","folder","TRUE","FALSE","Block 1","Row 1"
"6afd02e7-8486-44f5-aaa3-97b303f8d96c","","no-status-started","Upload Attachments","checklist","FALSE","FALSE","Block 1","Row 1","Pile Testing"
"0bfc4838-1b94-446d-9882-6df11bae7506","","not-started","C - 7051 ITC-ITR - Mechanical ITC","checklist","FALSE","FALSE","Block 1","Row 1","Mechanical ITC playaround"
"a06039d8-5a51-4e73-a772-f89183b1de2f","","not-started","C - 7051 ITC-ITR - Panel Installation ITC","checklist","FALSE","FALSE","Block 1","Row 1","Panel Installation ITC"
"923ed3b2-80c1-469a-9fa0-c535910808c5","","no-status-not-started","","folder","TRUE","FALSE","Block 1","Row 2"
"811dfee6-e987-4cbb-86dc-d1449bfca2d6","","no-status-not-started","","folder","TRUE","FALSE","Block 1","Row 3"
"7bbcfd9b-7c18-4e4b-8101-93890a748577","","no-status-not-started","","folder","TRUE","FALSE","Block 1","Row 4"
"29f911a9-e58f-439d-8a92-823f9247f29f","","no-status-not-started","","folder","TRUE","FALSE","Block 1","Row 5"
"0dd47d94-d9a7-436b-96a0-87c57b3cb0e5","","no-status-not-started","","folder","TRUE","FALSE","Block 1","Row 6"
"286761a0-a1b0-4446-a3ba-41e845e91c64","","no-status-not-started","","folder","TRUE","FALSE","Block 1","Row 7"
"e28bddc6-8f14-42cb-9463-ada90822e4b0","","not-started","C - 7051 MSF Mech Piling ITP - Piling ITP","checklist","FALSE","FALSE","Block 1","Block 1 - Piling ITP"
"123d09ed-419a-4d53-b4ca-3515f23b2094","","not-started","C - 7051 MSF Mech Piling ITP - Panel Installation ITP","checklist","FALSE","FALSE","Block 1","Block 1 - Panel Installation ITP"
"b0c3d135-db5c-40ae-b9d6-a997ab5e9dae","","not-started","C - 7051 MSF Mech Piling ITP - Mechanical ITP","checklist","FALSE","FALSE","Block 1","Block 1 - Mechanical ITP"
"cb1998d4-520c-4bde-b563-f1c155cc1b8c","","no-status-not-started","","folder","TRUE","FALSE","Block 2"
"6d5d5836-1a70-46ea-93dc-59d407e029d6","","work-in-progress","","folder","TRUE","FALSE","Block 3"
"b2bcd796-7fcc-4f0c-b3f4-b500ef8ac5d5","","work-in-progress","","folder","TRUE","FALSE","Block 3","Row 28"
"85dd2ef0-bfeb-43dd-a24c-53fda0a367b7","","work-in-progress","C - 7051 ITC-ITR - Pile Predrilling & Filling ITC","checklist","FALSE","FALSE","Block 3","Row 28","R28T2 - Pile Predrilling & Filling ITC"
