"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fe89e139-0ea6-41ec-ae8b-893ebaf332f8","","pass","","folder","TRUE","FALSE","CP/1"
"6bac2830-707c-459d-96ff-2215fe99983d","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/1","Pre-Pour Checklist"
"5b0756a4-3978-466b-a39d-b95ce157ab53","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/1","Concrete Delivery Checklist"
"ebc2fb54-5fe2-4fe3-ad14-22c09c7ad377","","pass","","folder","TRUE","FALSE","CP/2"
"eef50e9b-5039-4c9c-b85d-1ffeb1ea16c7","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/2","Pre-Pour Checklist"
"afd59272-fd96-467c-9a2f-39d95cc469f2","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/2","Concrete Delivery Checklist"
"b982e13d-3bc4-433d-a70a-34e6c36621a1","","pass","","folder","TRUE","FALSE","CP/3"
"64f1e485-1b7b-4ac1-8e5c-6014390eb957","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/3","Pre-Pour Checklist"
"3daaa8e2-46d1-4400-8842-449dca9aa9c3","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/3","Concrete Delivery Checklist"
"8648a0ac-6691-43a8-a2b8-f1e2763dd289","","pass","","folder","TRUE","FALSE","CP/4"
"eb107864-9381-4714-808f-67d7aa49d245","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/4","Pre-Pour Checklist"
"27c7bba2-6d4b-4636-8369-6d904896e20a","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/4","Concrete Delivery Checklist"
"77ef7123-3296-4847-87f1-b39cd0611c8a","","pass","","folder","TRUE","FALSE","CP/5"
"e0e4d951-5b83-4dca-915e-7b41139a75db","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/5","Pre-Pour Checklist"
"fa4f32e5-1e38-4f08-8bb9-ee465b7bdb60","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/5","Concrete Delivery Checklist"
"66c359b5-ff53-4bcf-9f26-773864bbe0f8","","pass","","folder","TRUE","FALSE","CP/6"
"4ccd4a51-9064-4bf9-b7c1-441679b1baf1","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/6","Pre-Pour Checklist"
"8e6fb96b-8a91-40f9-bea8-ed43fd6d895e","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/6","Concrete Delivery Checklist"
"79aa4e99-911c-44b0-8b46-e4a13e673dc4","","pass","","folder","TRUE","FALSE","CP/7"
"d7393720-e257-4998-b61c-ef2d929c18d3","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/7","Pre-Pour Checklist"
"1ad49a98-0475-45cf-ae1d-2309b6ec3ad1","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/7","Concrete Delivery Checklist"
"2aa74f96-d263-4c2c-9b89-c2dc8e6abedc","","not-started","","folder","TRUE","FALSE","CP/8"
"b04e8ac9-2e0c-4232-a2d5-bdfe92643ddc","","not-started","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/8","Pre-Pour Checklist"
"7229386d-ee03-4add-90b6-223c0f4fda9f","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/8","Concrete Delivery Checklist"
"dec4a396-0434-4743-96de-4dab4065dfc7","","pass","","folder","TRUE","FALSE","CP/9"
"7648b360-896f-46c5-a1cc-e9e3e7bf5047","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/9","Pre-Pour Checklist"
"8e523b9a-a10a-4b1d-b7ca-58baa8b44764","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","CP/9","Concrete Delivery Checklist"
"230bfc7d-5867-4e1e-ab07-9eea9015a6e7","","pass","","folder","TRUE","FALSE","CP/10"
"d07404a7-d446-4a76-b9e8-bcd470e8d9a1","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","CP/10","Pre-Pour Checklist"
