"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,,"on site install"
,"Rows"
,,"level 4",,"level 4"
,,"level 5",,"level 5"
,,"level 6",,"level 6"
,,"level 7",,"level 7"
,,"level 8",,"level 8"
,,"level 9",,"level 9"
,,"level 10",,"level 10"
,,"level 11",,"level 11"
,,"level 12",,"level 12"
,,"level 13",,"level 13"
,,"level 14",,"level 14"
,,"level 15",,"level 15"
,,"level 16",,"level 16"
,,"level 17",,"level 17"
,"Columns"
,,"steel post/water proofing/external sliding door/base nodes",,"steel post/water proofing/external sliding door/base nodes"
,,"spandrel install",,"spandrel install"
,,"corner facade installation",,"corner facade installation"
,,"exo installation",,"exo installation"
,,"glass balustrade installation",,"glass balustrade installation"
,,"internal sliding door installation",,"internal sliding door installation"

"Steel Post/Water Proofing/External Sliding Door/Base Nodes Install Progress"
,"Scope",,,"on site install"
,"Rows"
,,"level 4",,"level 4"
,,"level 5",,"level 5"
,,"level 6",,"level 6"
,,"level 7",,"level 7"
,,"level 8",,"level 8"
,,"level 9",,"level 9"
,,"level 10",,"level 10"
,,"level 11",,"level 11"
,,"level 12",,"level 12"
,,"level 13",,"level 13"
,,"level 14",,"level 14"
,,"level 15",,"level 15"
,,"level 16",,"level 16"
,,"level 17",,"level 17"
,"Columns"
,,"prestart QA",,"steel post/water proofing/external sliding door/base nodes","prestart qa"
,,"Install QA",,"steel post/water proofing/external sliding door/base nodes","steel post/water proofing/external sliding doors/base nodes qa"
,,"Completion/Inspection & Handover",,"steel post/water proofing/external sliding door/base nodes","completion/inspection & handover"

"Spandrel Install Progress"
,"Scope",,,"on site install"
,"Rows"
,,"level 4",,"level 4"
,,"level 5",,"level 5"
,,"level 6",,"level 6"
,,"level 7",,"level 7"
,,"level 8",,"level 8"
,,"level 9",,"level 9"
,,"level 10",,"level 10"
,,"level 11",,"level 11"
,,"level 12",,"level 12"
,,"level 13",,"level 13"
,,"level 14",,"level 14"
,,"level 15",,"level 15"
,,"level 16",,"level 16"
,,"level 17",,"level 17"
,"Columns"
,,"prestart QA",,"spandrel install","prestart qa"
,,"Install QA",,"spandrel install","spandrel install qa"
,,"Completion/Inspection & Handover",,"spandrel install","completion/inspection & handover"

"Corner Facade Install Progress"
,"Scope",,,"on site install"
,"Rows"
,,"level 4",,"level 4"
,,"level 5",,"level 5"
,,"level 6",,"level 6"
,,"level 7",,"level 7"
,,"level 8",,"level 8"
,,"level 9",,"level 9"
,,"level 10",,"level 10"
,,"level 11",,"level 11"
,,"level 12",,"level 12"
,,"level 13",,"level 13"
,,"level 14",,"level 14"
,,"level 15",,"level 15"
,,"level 16",,"level 16"
,,"level 17",,"level 17"
,"Columns"
,,"prestart QA",,"corner facade installation","prestart qa"
,,"Install QA",,"corner facade installation qa"
,,"Completion/Inspection & Handover",,"corner facade installation","completion/inspection & handover"

"Exo Installation Progress"
,"Scope",,,"on site install"
,"Rows"
,,"level 4",,"level 4"
,,"level 5",,"level 5"
,,"level 6",,"level 6"
,,"level 7",,"level 7"
,,"level 8",,"level 8"
,,"level 9",,"level 9"
,,"level 10",,"level 10"
,,"level 11",,"level 11"
,,"level 12",,"level 12"
,,"level 13",,"level 13"
,,"level 14",,"level 14"
,,"level 15",,"level 15"
,,"level 16",,"level 16"
,,"level 17",,"level 17"
,"Columns"
,,"prestart QA",,"exo installation","prestart qa"
,,"Install QA",,"exo installation qa"
,,"Completion/Inspection & Handover",,"exo installation","completion/inspection & handover"

"Glass Balustrade Installation Progress"
,"Scope",,,"on site install"
,"Rows"
,,"level 4",,"level 4"
,,"level 5",,"level 5"
,,"level 6",,"level 6"
,,"level 7",,"level 7"
,,"level 8",,"level 8"
,,"level 9",,"level 9"
,,"level 10",,"level 10"
,,"level 11",,"level 11"
,,"level 12",,"level 12"
,,"level 13",,"level 13"
,,"level 14",,"level 14"
,,"level 15",,"level 15"
,,"level 16",,"level 16"
,,"level 17",,"level 17"
,"Columns"
,,"prestart QA",,"glass balustrade installation","prestart qa"
,,"Install QA",,"glass balustrade installation qa"
,,"Completion/Inspection & Handover",,"completion/inspection & handover","glass balustrade installation"

"Internal Sliding Door Installation Progress"
,"Scope",,,"on site install"
,"Rows"
,,"level 4",,"level 4"
,,"level 5",,"level 5"
,,"level 6",,"level 6"
,,"level 7",,"level 7"
,,"level 8",,"level 8"
,,"level 9",,"level 9"
,,"level 10",,"level 10"
,,"level 11",,"level 11"
,,"level 12",,"level 12"
,,"level 13",,"level 13"
,,"level 14",,"level 14"
,,"level 15",,"level 15"
,,"level 16",,"level 16"
,,"level 17",,"level 17"
,"Columns"
,,"prestart QA",,"internal sliding door installation","prestart qa"
,,"Install QA",,"internal sliding door installation qa"
,,"Completion/Inspection & Handover",,"internal sliding door installation","completion/inspection & handover"

"Progress"
,"Scope",,
,"Rows"
,"Columns"

