"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"362d54ec-937a-4933-9ed8-40567538856e","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Unit 31"
"37ebb386-12ee-44f3-9e82-83095305c228","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Unit 32"
"79a0807a-6582-4dc0-85ee-aa52401e352f","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Unit 33"
"ab162e16-eba1-4b42-8be9-9e668e21d390","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Unit 34"
"3a974d6e-ee65-41b5-9b02-e11a0301643e","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Unit 36"
"0d271eaf-8872-4e24-81cb-cacb307e3c4c","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 3","Unit 37"
"81a3d90a-54e2-48a1-8ff9-e158a462c315","","not-started","","folder","TRUE","FALSE","Site QA","Level 4"
"69aa9e53-3548-44bf-99f0-c311767eac83","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 4","Lobby"
"5ba804f9-d831-446c-b77c-004441434db5","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 4","Unit 41"
"a0aabf84-f131-4064-a5b3-740e524f1f3c","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 4","Unit 42"
"1bcb0f00-8fed-4bc4-b950-61775c30cc97","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 4","Unit 43"
"5c64f26a-6d56-4aa0-989b-02f565be19b9","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 4","Unit 44"
"942e5447-3cb1-43e0-87b8-c110dece01d7","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 4","Unit 45"
"af0978bd-8b6f-420d-b888-baf915c69c4e","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 4","Unit 46"
"81b261cf-6b1a-4a82-bb54-1c1c3dedf9e6","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 4","Unit 47"
"86d4d052-8531-4f9e-83c6-fb78505d12db","","not-started","","folder","TRUE","FALSE","Site QA","Level 5"
"448a97a2-2744-4396-8b28-913fe9324939","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 5","Lobby"
"7ab40cca-a825-4bb4-b249-479dcb87877e","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 5","Unit 51"
"9c069412-64b8-4964-b3db-6cedd325caf7","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 5","Unit 52"
"5cf203c0-00bb-4be7-bd4c-40d344dc2d9f","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 5","Unit 53"
"53a1825c-ffce-441a-bdba-fbb1ba44f9ee","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 5","Unit 54"
"e857e77e-5df3-4fe4-bc00-29e18a4bbc48","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 5","Unit 55"
"66ad76ac-e533-4574-9cf5-3583754f6535","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 5","Unit 56"
"687a00b1-65af-47c5-80c3-805c4f96aeba","","not-started","ESM ITP","checklist","FALSE","FALSE","Site QA","Level 5","Unit 57"
