type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Drain down and fill up of sprinkler system,,,,,,,
section,Details,,,,,,,
checkpoint,Isolate FIP & ASE,,,,,,,
checkpoint,Drain down sprinkler system,,,,,,,
checkpoint,Isolate sprinkler zones in alarm and De-isolate FIP & ASE,,,,,,,
checkpoint,On completion of works check that there are no open ends and everything is plugged off ready for water.,,,,,,,
checkpoint,Isolate FIP & ASE,,,,,,,
checkpoint,Fill up sprinkler system,,,,,,,
checkpoint,"Once system is full ensure everything has been put back to normal – ie; pumps, sprinklers, ASE & FIP all back online",,,,,,,
checkpoint,"Any further comments; ie, something stuck in alarm, any additional information.",,,,,,,
