"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"510bc372-2e7e-4b98-b0f6-5d80fac21d08","","pass","","folder","TRUE","FALSE","Health and Safety"
"33db6508-c817-4bb6-9dd9-e59834d3e14b","","pass","Health & Safety","checklist","FALSE","FALSE","Health and Safety","Health & Safety"
"695f58b7-9b25-46c1-9402-12f6be9fcd8e","","work-in-progress","","folder","TRUE","FALSE","Workshop QA Documents"
"dfd37e59-7de8-4a8a-9657-611f129bbfcc","","work-in-progress","Workshop QA Documents","checklist","FALSE","FALSE","Workshop QA Documents","Workshop QA Documents"
"b93ddcec-11d3-49cf-a413-14d8dd7f0b96","","work-in-progress","","folder","TRUE","FALSE","Site QA Documents"
"9a381370-c697-43b1-8e98-664589144402","","work-in-progress","Site QA Documents","checklist","FALSE","FALSE","Site QA Documents","Site QA Documents"
"65e526c8-96ba-47db-8493-8207ce4281c6","","not-started","","folder","TRUE","FALSE","Installation QA"
"cc660b4f-7372-4666-af46-e7df0f6e42a2","","not-started","Site Install Checklist","checklist","FALSE","FALSE","Installation QA","Site Install Checklist"
"a9ad1962-7260-4650-9db6-8b3a91ec192d","","not-started","Overview QA Checklist","checklist","FALSE","FALSE","Installation QA","Overview QA Checklist"
